Assemblies               ABySS  A_STAR  Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000012325.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000012885.1_crisprs  -      2148    -     0       0           0        0           0        0                 0     
GCA_000012985.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000014865.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000014885.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000015145.1_crisprs  0      0       0     0       0           0        0           0        -                 0     
GCA_000016425.1_crisprs  -      3622    -     0       0           0        0           0        0                 0     
GCA_000019185.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000020525.1_crisprs  -      0       -     0       0           2121     0           0        0                 0     
GCA_000148645.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000192865.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000195335.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000211475.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000212355.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000214665.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000221185.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000227745.2_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000299395.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000299995.1_crisprs  -      0       -     0       0           0        0           -        0                 0     
GCA_000307105.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000332115.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000348785.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000473245.1_crisprs  -      0       -     0       0           1048     0           0        0                 0     
GCA_000590925.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000591035.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000626635.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_000725425.1_crisprs  0      0       -     0       0           0        0           0        0                 0     
GCA_000830985.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
GCA_001430865.1_crisprs  -      0       -     0       0           0        0           0        0                 0     
