Assemblies               ABySS  A_STAR  Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      865     -     733     1251        1251     1251        1251     1251              1146  
GCA_000012325.1_crisprs  -      361     -     400     913         345      913         265      307               679   
GCA_000012885.1_crisprs  -      981     -     4157    6799        6738     6799        6799     6734              6799  
GCA_000012985.1_crisprs  -      898     -     2492    3670        1481     3670        3604     3608              2425  
GCA_000014865.1_crisprs  -      896     -     4153    9260        4327     9260        9260     4759              5784  
GCA_000014885.1_crisprs  -      206     -     206     206         206      206         206      206               206   
GCA_000015145.1_crisprs  805    2094    3184  3306    3306        3306     3306        3305     -                 3306  
GCA_000016425.1_crisprs  -      556     -     1624    1624        943      1624        957      1624              877   
GCA_000019185.1_crisprs  -      642     -     700     700         700      645         128      496               376   
GCA_000020525.1_crisprs  -      894     -     7541    10622       6797     10622       6448     10599             9938  
GCA_000148645.1_crisprs  -      308     -     215     720         304      720         133      274               506   
GCA_000192865.1_crisprs  -      929     -     3088    4153        3614     4153        3148     3148              4155  
GCA_000195335.1_crisprs  511    1779    -     3455    3455        3455     3455        3455     3446              3455  
GCA_000211475.1_crisprs  647    2885    -     5747    5747        5747     5747        5747     5747              5747  
GCA_000212355.1_crisprs  -      483     -     510     510         510      510         510      510               510   
GCA_000214665.1_crisprs  614    877     -     4288    4288        4288     4288        419      4228              4288  
GCA_000221185.1_crisprs  -      779     -     1986    2558        2558     2558        2558     2564              2040  
GCA_000227745.2_crisprs  -      2037    -     2716    2716        2716     2716        2716     2782              2716  
GCA_000299395.1_crisprs  -      730     -     730     730         730      730         730      730               730   
GCA_000299995.1_crisprs  -      186     -     639     652         253      219         -        185               245   
GCA_000307105.1_crisprs  1751   2051    -     4504    4504        4370     4504        1880     4458              4504  
GCA_000332115.1_crisprs  -      610     -     610     610         610      610         610      610               610   
GCA_000348785.1_crisprs  345    527     -     662     860         662      726         860      662               860   
GCA_000473245.1_crisprs  -      637     -     944     3110        955      663         1003     693               554   
GCA_000590925.1_crisprs  -      590     -     590     590         590      590         590      590               590   
GCA_000591035.1_crisprs  -      1199    -     1953    2188        2188     2188        2188     2188              907   
GCA_000626635.1_crisprs  -      298     -     180     298         298      298         298      298               298   
GCA_000725425.1_crisprs  3437   3303    -     3370    3437        3504     3437        2105     3303              3470  
GCA_000830985.1_crisprs  -      580     -     580     580         580      580         580      580               582   
GCA_001430865.1_crisprs  -      820     -     820     820         820      820         820      820               820   
