Assemblies               ABySS   A_STAR    Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes 
GCA_000011185.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000012325.1_crisprs  -       0.00      -     0.79    0.00        0.00     0.00        0.00     0.00              2331.00
GCA_000012885.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000012985.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     1.05              0.00   
GCA_000014865.1_crisprs  -       11921.02  -     17.32   0.00        0.00     8.41        0.00     0.00              0.00   
GCA_000014885.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000015145.1_crisprs  0.00    0.00      0.00  2.82    0.00        0.00     0.00        0.00     -                 0.00   
GCA_000016425.1_crisprs  -       772.19    -     0.00    0.00        0.00     0.00        0.00     0.00              211.86 
GCA_000019185.1_crisprs  -       1841.43   -     40.80   0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000020525.1_crisprs  -       4.58      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000148645.1_crisprs  -       0.00      -     25.74   0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000192865.1_crisprs  -       65.20     -     6.18    0.00        0.00     11.18       0.00     0.00              0.00   
GCA_000195335.1_crisprs  0.00    2.19      -     0.00    0.00        0.00     0.00        0.00     0.20              0.00   
GCA_000211475.1_crisprs  0.00    881.63    -     17.02   0.00        0.00     0.00        0.00     0.21              68.30  
GCA_000212355.1_crisprs  -       21552.18  -     3.54    0.00        0.00     0.00        0.00     0.53              0.00   
GCA_000214665.1_crisprs  0.00    1159.96   -     13.24   0.00        0.00     0.00        0.00     0.00              472.30 
GCA_000221185.1_crisprs  -       5055.43   -     0.00    0.00        0.00     0.00        0.00     0.64              0.00   
GCA_000227745.2_crisprs  -       23181.85  -     1.33    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000299395.1_crisprs  -       23672.50  -     0.77    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000299995.1_crisprs  -       16091.63  -     71.16   0.00        0.00     0.00        -        0.00              0.00   
GCA_000307105.1_crisprs  311.94  0.86      -     5.59    0.00        0.00     0.00        0.00     0.00              11.01  
GCA_000332115.1_crisprs  -       391.64    -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000348785.1_crisprs  302.49  0.00      -     13.38   0.00        0.00     0.00        0.00     0.00              23.98  
GCA_000473245.1_crisprs  -       0.55      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000590925.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000591035.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000626635.1_crisprs  -       0.00      -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000725425.1_crisprs  41.52   122.88    -     32.10   0.00        0.00     0.00        0.00     0.00              5.39   
GCA_000830985.1_crisprs  -       1211.49   -     0.00    0.00        0.00     0.00        0.00     4.95              0.00   
GCA_001430865.1_crisprs  -       494.83    -     0.00    0.00        0.00     0.00        0.00     0.00              0.00   
