Assemblies               ABySS  A_STAR  Flye    HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes 
GCA_000011185.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000012325.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000012885.1_crisprs  -      0.00    -       0.00    0.00        58.83    0.00        0.00     14.72             0.00   
GCA_000012985.1_crisprs  -      0.00    -       0.00    0.00        17.21    0.00        17.19    395.32            18.59  
GCA_000014865.1_crisprs  -      53.59   -       24.10   0.00        15.14    8.02        133.01   0.00              0.00   
GCA_000014885.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000015145.1_crisprs  0.00   0.00    107.51  30.83   0.00        30.83    0.00        46.24    -                 0.00   
GCA_000016425.1_crisprs  -      0.00    -       0.00    0.00        0.00     24.35       30.32    0.00              23.55  
GCA_000019185.1_crisprs  -      297.18  -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000020525.1_crisprs  -      0.00    -       23.52   0.00        52.72    0.00        0.00     837.73            0.00   
GCA_000148645.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000192865.1_crisprs  -      0.00    -       9.89    0.00        108.42   29.57       0.00     0.00              19.71  
GCA_000195335.1_crisprs  0.00   38.04   -       0.00    0.00        9.28     9.28        18.56    0.00              0.00   
GCA_000211475.1_crisprs  0.00   0.00    -       0.00    0.00        108.92   0.00        68.47    0.00              0.00   
GCA_000212355.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000214665.1_crisprs  0.00   0.00    -       0.00    0.00        0.00     0.00        0.00     15.19             0.00   
GCA_000221185.1_crisprs  -      0.00    -       0.00    0.00        25.29    0.00        0.00     189.71            238.53 
GCA_000227745.2_crisprs  -      36.76   -       18.10   0.00        0.00     0.00        17.19    17.50             82.19  
GCA_000299395.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000299995.1_crisprs  -      0.00    -       159.24  0.00        0.00     0.00        -        0.00              0.00   
GCA_000307105.1_crisprs  28.27  174.32  -       0.00    0.00        36.91    0.00        2925.24  221.48            0.00   
GCA_000332115.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000348785.1_crisprs  0.00   550.21  -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000473245.1_crisprs  -      53.88   -       0.00    0.00        24.49    0.00        0.00     33.10             0.00   
GCA_000590925.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000591035.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000626635.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00   
GCA_000725425.1_crisprs  0.00   82.10   -       54.73   0.00        41.05    0.00        805.84   114.91            13.68  
GCA_000830985.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              1899.83
GCA_001430865.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        1463.41  0.00              0.00   
