Assemblies               ABySS   A_STAR   Flye    HipMer   marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes 
GCA_000011185.1_crisprs  -       15231    -       1855     1584791     12930    10215       3403     28333             5567   
GCA_000012325.1_crisprs  -       60217    -       522768   5373173     517479   57327       56491    555914            8580   
GCA_000012885.1_crisprs  -       76281    -       25209    3665852     90815    91446       50405    44893             13545  
GCA_000012985.1_crisprs  -       72932    -       6513     7215228     60780    20510       156385   95253             3422   
GCA_000014865.1_crisprs  -       52937    -       114060   4719539     140059   106950      118567   145003            18741  
GCA_000014885.1_crisprs  -       88086    -       4808     5396452     38660    10914       15161    64738             3821   
GCA_000015145.1_crisprs  847     1147365  28380   705729   1667163     73247    1667163     2428999  -                 1667163
GCA_000016425.1_crisprs  -       55632    -       23069    5183322     107331   22718       52601    57927             15693  
GCA_000019185.1_crisprs  -       48997    -       72944    5226895     32409    116288      27129    31673             10441  
GCA_000020525.1_crisprs  -       52697    -       480126   3293431     477215   430579      505663   514901            50698  
GCA_000148645.1_crisprs  -       271443   -       89078    4279149     66508    77977       66341    169709            805128 
GCA_000192865.1_crisprs  -       74413    -       333744   4684311     231064   132475      229334   201639            24754  
GCA_000195335.1_crisprs  511     59888    -       127595   2269117     108229   126490      126603   362693            52820  
GCA_000211475.1_crisprs  647     71122    -       410716   1861292     208158   839617      211364   475637            568045 
GCA_000212355.1_crisprs  -       7134     -       747964   3389983     198036   113468      280460   190198            5532   
GCA_000214665.1_crisprs  614     4903     -       408855   5051673     407761   407606      13654    881144            1327807
GCA_000221185.1_crisprs  -       34316    -       21427    2011287     39210    31672       44078    71756             3432   
GCA_000227745.2_crisprs  -       30525    -       31845    5017042     87878    74338       54612    178489            13038  
GCA_000299395.1_crisprs  -       11458    -       323982   1690869     134247   395019      250003   235228            5548   
GCA_000299995.1_crisprs  -       23644    -       6521     4480493     6394     3802        -        1304              2305   
GCA_000307105.1_crisprs  1751    60504    -       544740   5197896     543510   449204      407302   499331            544558 
GCA_000332115.1_crisprs  -       42211    -       65860    3914609     191383   94221       323167   72798             6444   
GCA_000348785.1_crisprs  8996    104300   -       242212   4830178     138431   610486      240219   510819            1120427
GCA_000473245.1_crisprs  -       236311   -       17986    4884705     189776   31085       156872   152387            4952   
GCA_000590925.1_crisprs  -       54900    -       55817    3555091     66999    64144       191257   106155            3556   
GCA_000591035.1_crisprs  -       50742    -       72353    1595975     114356   71834       108667   37923             2717   
GCA_000626635.1_crisprs  -       1860     -       81572    5132065     66378    82233       76823    65484             9063   
GCA_000725425.1_crisprs  148370  421667   -       1524395  1859369     541757   762996      2428999  763998            1091680
GCA_000830985.1_crisprs  -       26194    -       2731     3975877     20836    4061        7719     40410             1539   
GCA_001430865.1_crisprs  -       17118    -       764620   2884284     1007761  191246      764306   341863            33699  
not_aligned              311947  1928926  124885  1523357  4616522     1396623  1576690     2004584  1165491           1902115
