All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     A_STAR      HipMer      marmgCAMI2  Megahit     metaSPAdes  Miniasm     OPERA_MS_inhouse  SPAdes    
# contigs (>= 1000 bp)       3           2           1           3           3           3           1                 1         
# contigs (>= 5000 bp)       1           2           1           3           3           3           1                 1         
# contigs (>= 10000 bp)      1           2           1           3           3           3           1                 0         
# contigs (>= 25000 bp)      0           2           1           3           3           3           1                 0         
# contigs (>= 50000 bp)      0           2           1           2           2           3           1                 0         
Total length (>= 1000 bp)    18870       390831      1690869     235761      820299      377329      235228            5548      
Total length (>= 5000 bp)    11458       390831      1690869     235761      820299      377329      235228            5548      
Total length (>= 10000 bp)   11458       390831      1690869     235761      820299      377329      235228            0         
Total length (>= 25000 bp)   0           390831      1690869     235761      820299      377329      235228            0         
Total length (>= 50000 bp)   0           390831      1690869     187636      790038      377329      235228            0         
# contigs                    3           2           1           3           3           3           1                 1         
Largest contig               11458       323982      1690869     134247      395019      250003      235228            5548      
Total length                 18870       390831      1690869     235761      820299      377329      235228            5548      
Reference length             730         730         730         730         730         730         730               730       
GC (%)                       36.33       33.54       33.59       33.37       33.53       33.70       33.73             36.59     
Reference GC (%)             49.73       49.73       49.73       49.73       49.73       49.73       49.73             49.73     
N50                          11458       323982      1690869     134247      395019      250003      235228            5548      
NG50                         11458       323982      1690869     134247      395019      250003      235228            5548      
N75                          3706        323982      1690869     53389       395019      63663       235228            5548      
NG75                         11458       323982      1690869     134247      395019      250003      235228            5548      
L50                          1           1           1           1           2           1           1                 1         
LG50                         1           1           1           1           1           1           1                 1         
L75                          2           1           1           2           2           2           1                 1         
LG75                         1           1           1           1           1           1           1                 1         
# misassemblies              0           0           0           0           0           0           0                 0         
# misassembled contigs       0           0           0           0           0           0           0                 0         
Misassembled contigs length  0           0           0           0           0           0           0                 0         
# local misassemblies        0           0           0           0           0           0           0                 0         
# scaffold gap ext. mis.     0           0           0           0           0           0           0                 0         
# scaffold gap loc. mis.     0           0           0           0           0           0           0                 0         
# unaligned mis. contigs     0           0           0           0           0           2           0                 0         
# unaligned contigs          0 + 3 part  0 + 2 part  0 + 1 part  0 + 3 part  0 + 3 part  0 + 3 part  0 + 1 part        0 + 1 part
Unaligned length             12771       389368      1690139     233571      818109      376077      234498            4818      
Genome fraction (%)          100.000     100.000     100.000     100.000     100.000     100.000     100.000           100.000   
Duplication ratio            8.355       2.004       1.000       3.000       3.000       1.715       1.000             1.000     
# N's per 100 kbp            23672.50    0.77        0.00        0.00        0.00        0.00        0.00              0.00      
# mismatches per 100 kbp     2465.75     0.00        0.00        0.00        0.00        0.00        136.99            0.00      
# indels per 100 kbp         0.00        0.00        0.00        0.00        0.00        0.00        0.00              0.00      
Largest alignment            730         730         730         730         730         730         730               730       
Total aligned length         1632        1460        730         2190        2190        1252        730               730       
NGA50                        730         730         730         730         730         730         730               730       
NGA75                        730         730         730         730         730         730         730               730       
LGA50                        1           1           1           1           1           1           1                 1         
LGA75                        1           1           1           1           1           1           1                 1         
