Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	0	0	0	2	0	0	0	0
  # contig misassemblies	0	0	0	2	0	0	0	0
    # c. relocations	0	0	0	1	0	0	0	0
    # c. translocations	0	0	0	0	0	0	0	0
    # c. inversions	0	0	0	1	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	2	0	0	0	0
Misassembled contigs length	0	0	0	1048	0	0	0	0
# possibly misassembled contigs	6	11	0	15	19	4	4	6
    # possible misassemblies	10	13	0	17	22	5	6	7
# local misassemblies	2	0	0	1	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	2	1	1	3	0	1	0	0
# mismatches	76	12	0	92	30	0	16	16
# indels	2	0	0	1	0	0	1	0
    # indels (<= 5 bp)	0	0	0	0	0	0	0	0
    # indels (> 5 bp)	2	0	0	1	0	0	1	0
Indels length	108	0	0	54	0	0	13	0
