strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
B2/94|NCTC 12890	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella pinnipedialis	131567|2|1224|28211|356|118882|234|120576|520461	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella pinnipedialis|Brucella pinnipedialis B2/94	NC_015857.1|NC_015858.1	520461	Brucella pinnipedialis	Brucella pinnipedialis B2/94	0	3399270	454 GS FLX|AB 3730 Genetic Analyzer	Complete
SS9|ATCC BAA-1253	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	131567|2|1224|1236|135623|641|657|74109|298386	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Photobacterium|Photobacterium profundum|Photobacterium profundum SS9	NC_006370.1|NC_006371.1|NC_005871.1	298386	Photobacterium profundum	Photobacterium profundum SS9	1	6403280	AB 3730 Genetic Analyzer	Complete
IMCC9063	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	131567|2|1224|28211|54526|1655514|198251|1002672	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|Candidatus Pelagibacter|Candidatus Pelagibacter sp. IMCC9063	NC_015380.1	1002672	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	0	1284727	454 GS FLX Titanium|AB 3730 Genetic Analyzer	Complete
IMCC1322	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum	131567|2|1224|28211|82117|62654|767891|767892|488538	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|unclassified Alphaproteobacteria|SAR116 cluster|Candidatus Puniceispirillum|Candidatus Puniceispirillum marinum|Candidatus Puniceispirillum marinum IMCC1322	NC_014010.1	488538	Candidatus Puniceispirillum marinum	Candidatus Puniceispirillum marinum IMCC1322	0	2753527	missing	Complete
AN10|CCUG 29243	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	131567|2|1224|1236|72274|135621|286|136846|578833|316|1196835	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas stutzeri group|Pseudomonas stutzeri subgroup|Pseudomonas stutzeri|Pseudomonas stutzeri CCUG 29243	NC_018028.1	1196835	Pseudomonas stutzeri	Pseudomonas stutzeri CCUG 29243	0	4709064	454 GS FLX Titanium|Illumina HiSeq 2000	Complete
AmH|DSM 18972|ATCC BAA-1463	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Nautilia	Nautilia profundicola	131567|2|1224|68525|29547|235899|224467|191291|244787|598659	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Nautiliales|Nautiliaceae|Nautilia|Nautilia profundicola|Nautilia profundicola AmH	NC_012115.1	598659	Nautilia profundicola	Nautilia profundicola AmH	0	1676444	AB 3730 Genetic Analyzer	Complete
PSCGR01	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis	131567|2|1224|1236|72273|135616|1237|1238	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia|Piscirickettsia salmonis	NZ_CP013944.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain PSCGR01	4	3489744	Illumina|PacBio RS	Complete
YT-3|ATCC 49156|DSM 6783|NCIMB 13208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	131567|2|1783272|1239|91061|186826|1300|1357|1363|420889	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus garvieae|Lactococcus garvieae ATCC 49156	NC_015930.1	420889	Lactococcus garvieae	Lactococcus garvieae ATCC 49156	0	1950135	AB 3730xL Genetic Analyzer	Complete
MCS10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris	131567|2|1224|28211|204455|69657|74317|74318|394221	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Maricaulis|Maricaulis maris|Maricaulis maris MCS10	NC_008347.1	394221	Maricaulis maris	Maricaulis maris MCS10	0	3368780	Sanger	Complete
MT-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MT-1	131567|2|1224|1236|72274|135621|286|150396	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. MT-1	NZ_AP014655.1	150396	Pseudomonas	Pseudomonas sp. MT-1	missing	4861258	454 GS FLX Titanium	Complete
