Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# contigs (>= 1000 bp)	2	2	1	3	3	1	1	1
# contigs (>= 5000 bp)	2	0	1	3	2	1	1	0
# contigs (>= 10000 bp)	2	0	1	2	2	1	1	0
# contigs (>= 25000 bp)	2	0	1	1	0	0	1	0
# contigs (>= 50000 bp)	2	0	1	0	0	0	1	0
Total length (>= 1000 bp)	176172	9616	5396452	64369	24824	15161	64738	3821
Total length (>= 5000 bp)	176172	0	5396452	64369	21828	15161	64738	0
Total length (>= 10000 bp)	176172	0	5396452	58035	21828	15161	64738	0
Total length (>= 25000 bp)	176172	0	5396452	38660	0	0	64738	0
Total length (>= 50000 bp)	176172	0	5396452	0	0	0	64738	0
# contigs	2	2	1	3	3	1	1	1
Largest contig	88086	4808	5396452	38660	10914	15161	64738	3821
Total length	176172	9616	5396452	64369	24824	15161	64738	3821
Reference length	206	206	206	206	206	206	206	206
GC (%)	41.71	42.28	43.29	41.11	40.11	40.68	42.23	41.74
Reference GC (%)	48.06	48.06	48.06	48.06	48.06	48.06	48.06	48.06
N50	88086	4808	5396452	38660	10914	15161	64738	3821
NG50	88086	4808	5396452	38660	10914	15161	64738	3821
N75	88086	4808	5396452	19375	10914	15161	64738	3821
NG75	88086	4808	5396452	38660	10914	15161	64738	3821
L50	1	1	1	1	2	1	1	1
LG50	1	1	1	1	1	1	1	1
L75	2	2	1	2	2	1	1	1
LG75	1	1	1	1	1	1	1	1
# misassemblies	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0
# local misassemblies	0	0	0	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 2 part	0 + 2 part	0 + 1 part	0 + 3 part	0 + 3 part	0 + 1 part	0 + 1 part	0 + 1 part
Unaligned length	175760	9204	5396246	63751	24206	14955	64532	3615
Genome fraction (%)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000
Duplication ratio	2.000	2.000	1.000	3.000	3.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	0.00	0.00	1456.31	0.00	0.00	0.00	0.00
# indels per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Largest alignment	206	206	206	206	206	206	206	206
Total aligned length	412	412	206	618	618	206	206	206
NGA50	206	206	206	206	206	206	206	206
NGA75	206	206	206	206	206	206	206	206
LGA50	1	1	1	1	1	1	1	1
LGA75	1	1	1	1	1	1	1	1
