BINID	Tool	genome_id	length_gs	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
Otu2335	Gold standard	Otu2335	2633653	1.0	1.0	NA	1.0	1.0	5381	489.4356067645419	2633653	5381	2633653	5381	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu345.0	Gold standard	Otu345.0	9446022	1.0	1.0	NA	1.0	1.0	11	858729.2727272727	9446022	11	9446022	11	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1126	Gold standard	Otu1126	2593475	1.0	1.0	NA	1.0	1.0	103	25179.368932038837	2593475	103	2593475	103	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1664	Gold standard	Otu1664	3901250	1.0	1.0	NA	1.0	1.0	106	36804.24528301887	3901250	106	3901250	106	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu491.0	Gold standard	Otu491.0	4102221	1.0	1.0	NA	1.0	1.0	169	24273.49704142012	4102221	169	4102221	169	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1913	Gold standard	Otu1913	1391561	1.0	1.0	NA	1.0	1.0	85	16371.30588235294	1391561	85	1391561	85	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2438	Gold standard	Otu2438	2028059	1.0	1.0	NA	1.0	1.0	350	5794.454285714286	2028059	350	2028059	350	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1428.0	Gold standard	Otu1428.0	4645718	1.0	1.0	NA	1.0	1.0	143	32487.53846153846	4645718	143	4645718	143	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1515	Gold standard	Otu1515	6118581	1.0	1.0	NA	1.0	1.0	302	20260.201986754968	6118581	302	6118581	302	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1191	Gold standard	Otu1191	3586329	1.0	1.0	NA	1.0	1.0	144	24905.0625	3586329	144	3586329	144	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu496.0	Gold standard	Otu496.0	3031417	1.0	1.0	NA	1.0	1.0	125	24251.336	3031417	125	3031417	125	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1957.0	Gold standard	Otu1957.0	3249600	1.0	1.0	NA	1.0	1.0	115	28257.391304347828	3249600	115	3249600	115	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1469.1	Gold standard	Otu1469.1	4060355	1.0	1.0	NA	1.0	1.0	38	106851.44736842105	4060355	38	4060355	38	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu716.0	Gold standard	Otu716.0	3945169	1.0	1.0	NA	1.0	1.0	98	40256.82653061225	3945169	98	3945169	98	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu684	Gold standard	Otu684	2523109	1.0	1.0	NA	1.0	1.0	223	11314.390134529149	2523109	223	2523109	223	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu921.0	Gold standard	Otu921.0	4507798	1.0	1.0	NA	1.0	1.0	82	54973.14634146341	4507798	82	4507798	82	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu89	Gold standard	Otu89	1861292	1.0	1.0	NA	1.0	1.0	1	1861292.0	1861292	1	1861292	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2117	Gold standard	Otu2117	3908322	1.0	1.0	NA	1.0	1.0	1149	3401.498694516971	3908322	1149	3908322	1149	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1002.0	Gold standard	Otu1002.0	1747582	1.0	1.0	NA	1.0	1.0	303	5767.597359735973	1747582	303	1747582	303	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1763.0	Gold standard	Otu1763.0	5162657	1.0	1.0	NA	1.0	1.0	699	7385.7753934191705	5162657	699	5162657	699	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu150.0	Gold standard	Otu150.0	3309057	1.0	1.0	NA	1.0	1.0	99	33424.818181818184	3309057	99	3309057	99	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1548.1	Gold standard	Otu1548.1	4639849	1.0	1.0	NA	1.0	1.0	246	18861.174796747968	4639849	246	4639849	246	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu511	Gold standard	Otu511	1745369	1.0	1.0	NA	1.0	1.0	153	11407.640522875818	1745369	153	1745369	153	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu554	Gold standard	Otu554	2171716	1.0	1.0	NA	1.0	1.0	152	14287.605263157895	2171716	152	2171716	152	marmgCAMI2_short_read_pooled_gold_standard_assembly
RNODE_531_length_9868_cov_8.44904	Gold standard	RNODE_531_length_9868_cov_8.44904	98207	1.0	1.0	NA	1.0	1.0	10	9820.7	98207	10	98207	10	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2338	Gold standard	Otu2338	1475400	1.0	1.0	NA	1.0	1.0	226	6528.3185840707965	1475400	226	1475400	226	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1297	Gold standard	Otu1297	2589900	1.0	1.0	NA	1.0	1.0	42	61664.28571428572	2589900	42	2589900	42	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu453	Gold standard	Otu453	2994467	1.0	1.0	NA	1.0	1.0	87	34419.16091954023	2994467	87	2994467	87	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1322	Gold standard	Otu1322	5934673	1.0	1.0	NA	1.0	1.0	32	185458.53125	5934673	32	5934673	32	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu889.0	Gold standard	Otu889.0	3191961	1.0	1.0	NA	1.0	1.0	643	4964.169517884914	3191961	643	3191961	643	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu638.0	Gold standard	Otu638.0	3644618	1.0	1.0	NA	1.0	1.0	387	9417.61757105943	3644618	387	3644618	387	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2189	Gold standard	Otu2189	1756687	1.0	1.0	NA	1.0	1.0	296	5934.753378378378	1756687	296	1756687	296	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu323.0	Gold standard	Otu323.0	3544205	1.0	1.0	NA	1.0	1.0	26	136315.57692307694	3544205	26	3544205	26	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2119.0	Gold standard	Otu2119.0	3577249	1.0	1.0	NA	1.0	1.0	17	210426.41176470587	3577249	17	3577249	17	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu771	Gold standard	Otu771	1564632	1.0	1.0	NA	1.0	1.0	36	43462.0	1564632	36	1564632	36	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu549	Gold standard	Otu549	3511658	1.0	1.0	NA	1.0	1.0	9	390184.22222222225	3511658	9	3511658	9	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu53.0	Gold standard	Otu53.0	3424954	1.0	1.0	NA	1.0	1.0	1	3424954.0	3424954	1	3424954	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu384.0	Gold standard	Otu384.0	4147266	1.0	1.0	NA	1.0	1.0	5	829453.2	4147266	5	4147266	5	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu364	Gold standard	Otu364	1434473	1.0	1.0	NA	1.0	1.0	64	22413.640625	1434473	64	1434473	64	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu454.0	Gold standard	Otu454.0	4968968	1.0	1.0	NA	1.0	1.0	10	496896.8	4968968	10	4968968	10	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu46	Gold standard	Otu46	1741653	1.0	1.0	NA	1.0	1.0	69	25241.347826086956	1741653	69	1741653	69	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1136.0	Gold standard	Otu1136.0	3807576	1.0	1.0	NA	1.0	1.0	55	69228.65454545454	3807576	55	3807576	55	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu315.0	Gold standard	Otu315.0	3830131	1.0	1.0	NA	1.0	1.0	9	425570.1111111111	3830131	9	3830131	9	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu713	Gold standard	Otu713	1569194	1.0	1.0	NA	1.0	1.0	38	41294.57894736842	1569194	38	1569194	38	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu279	Gold standard	Otu279	1342993	1.0	1.0	NA	1.0	1.0	8	167874.125	1342993	8	1342993	8	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu352.0	Gold standard	Otu352.0	5187932	1.0	1.0	NA	1.0	1.0	109	47595.706422018346	5187932	109	5187932	109	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu303.0	Gold standard	Otu303.0	1999613	1.0	1.0	NA	1.0	1.0	2	999806.5	1999613	2	1999613	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu438	Gold standard	Otu438	6321918	1.0	1.0	NA	1.0	1.0	8	790239.75	6321918	8	6321918	8	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu457.0	Gold standard	Otu457.0	3841312	1.0	1.0	NA	1.0	1.0	39	98495.17948717948	3841312	39	3841312	39	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1475	Gold standard	Otu1475	2475854	1.0	1.0	NA	1.0	1.0	63	39299.269841269845	2475854	63	2475854	63	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu85.1	Gold standard	Otu85.1	3293900	1.0	1.0	NA	1.0	1.0	4	823475.0	3293900	4	3293900	4	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu852.0	Gold standard	Otu852.0	4399929	1.0	1.0	NA	1.0	1.0	9	488881.0	4399929	9	4399929	9	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu391	Gold standard	Otu391	3107339	1.0	1.0	NA	1.0	1.0	124	25059.185483870966	3107339	124	3107339	124	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu382.0	Gold standard	Otu382.0	4455384	1.0	1.0	NA	1.0	1.0	1	4455384.0	4455384	1	4455384	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu590	Gold standard	Otu590	3926332	1.0	1.0	NA	1.0	1.0	17	230960.70588235295	3926332	17	3926332	17	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu174	Gold standard	Otu174	1480752	1.0	1.0	NA	1.0	1.0	28	52884.0	1480752	28	1480752	28	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu265.0	Gold standard	Otu265.0	4417500	1.0	1.0	NA	1.0	1.0	8	552187.5	4417500	8	4417500	8	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu625	Gold standard	Otu625	1983735	1.0	1.0	NA	1.0	1.0	11	180339.54545454544	1983735	11	1983735	11	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu22	Gold standard	Otu22	3600306	1.0	1.0	NA	1.0	1.0	85	42356.541176470586	3600306	85	3600306	85	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1129	Gold standard	Otu1129	5054908	1.0	1.0	NA	1.0	1.0	80	63186.35	5054908	80	5054908	80	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1334	Gold standard	Otu1334	6398369	1.0	1.0	NA	1.0	1.0	107	59797.84112149533	6398369	107	6398369	107	marmgCAMI2_short_read_pooled_gold_standard_assembly
RNODE_407_length_46658_cov_49.66972	Gold standard	RNODE_407_length_46658_cov_49.66972	464903	1.0	1.0	NA	1.0	1.0	21	22138.238095238095	464903	21	464903	21	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1362.0	Gold standard	Otu1362.0	1659927	1.0	1.0	NA	1.0	1.0	93	17848.677419354837	1659927	93	1659927	93	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2299.0	Gold standard	Otu2299.0	2913218	1.0	1.0	NA	1.0	1.0	228	12777.271929824561	2913218	228	2913218	228	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1427	Gold standard	Otu1427	2836702	1.0	1.0	NA	1.0	1.0	329	8622.19452887538	2836702	329	2836702	329	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2482.0	Gold standard	Otu2482.0	2828766	1.0	1.0	NA	1.0	1.0	1749	1617.3619210977702	2828766	1749	2828766	1749	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu894.0	Gold standard	Otu894.0	4306329	1.0	1.0	NA	1.0	1.0	383	11243.678851174935	4306329	383	4306329	383	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu501	Gold standard	Otu501	1771740	1.0	1.0	NA	1.0	1.0	177	10009.830508474577	1771740	177	1771740	177	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu254	Gold standard	Otu254	5835107	1.0	1.0	NA	1.0	1.0	385	15156.122077922078	5835107	385	5835107	385	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1108.0	Gold standard	Otu1108.0	167791	1.0	1.0	NA	1.0	1.0	661	253.84417549167927	167791	661	167791	661	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1817	Gold standard	Otu1817	463166	1.0	1.0	NA	1.0	1.0	834	555.3549160671463	463166	834	463166	834	marmgCAMI2_short_read_pooled_gold_standard_assembly
