Assemblies               ABySS   A_STAR   Flye  HipMer   marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes 
GCA_000011185.1_crisprs  -       0        -     0        1584791     0        0           0        0                 0      
GCA_000012885.1_crisprs  -       152562   -     0        3665852     90815    182892      50405    0                 0      
GCA_000012985.1_crisprs  -       145864   -     0        7215228     60780    0           156385   95253             0      
GCA_000014865.1_crisprs  -       0        -     78316    4719539     82451    267623      0        187862            0      
GCA_000014885.1_crisprs  -       176172   -     0        5396452     0        0           0        64738             0      
GCA_000015145.1_crisprs  0       2432046  0     776721   1667163     266645   3736443     7286997  -                 1667163
GCA_000016425.1_crisprs  -       109606   -     0        5183322     0        0           52601    57927             0      
GCA_000020525.1_crisprs  -       208818   -     1612829  3293431     1690220  1536717     802163   593948            50698  
GCA_000192865.1_crisprs  -       271428   -     715096   4684311     834489   743381      396596   371708            0      
GCA_000195335.1_crisprs  0       119776   -     485571   2269117     549144   462402      355240   987916            52820  
GCA_000211475.1_crisprs  0       142244   -     1233921  1861292     891581   2085856     560810   475637            568045 
GCA_000214665.1_crisprs  0       0        -     1163172  5051673     1059974  1282040     0        989129            2581202
GCA_000221185.1_crisprs  -       0        -     0        2011287     0        0           0        136325            0      
GCA_000307105.1_crisprs  0       121008   -     1733750  5197896     2541353  2220491     407302   911169            907922 
GCA_000591035.1_crisprs  -       101484   -     122467   1595975     307639   203734      108667   0                 0      
GCA_000626635.1_crisprs  -       0        -     137138   5132065     66378    235844      76823    65484             0      
GCA_000725425.1_crisprs  424122  2022878  -     2707560  1859369     1912003  4558984     8381890  1513471           1854709
