Assemblies               ABySS  A_STAR  Flye    HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000012885.1_crisprs  -      0.00    -       0.00    0.00        58.83    0.00        0.00     14.72             0.00  
GCA_000012985.1_crisprs  -      0.00    -       0.00    0.00        17.21    0.00        17.19    395.32            18.59 
GCA_000014865.1_crisprs  -      0.00    -       0.00    0.00        10.80    0.00        0.00     0.00              0.00  
GCA_000014885.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000015145.1_crisprs  0.00   0.00    107.51  30.83   0.00        30.83    0.00        46.24    -                 0.00  
GCA_000016425.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000020525.1_crisprs  -      0.00    -       23.52   0.00        52.72    0.00        0.00     837.73            0.00  
GCA_000192865.1_crisprs  -      0.00    -       9.89    0.00        108.42   29.57       0.00     0.00              19.71 
GCA_000195335.1_crisprs  0.00   39.47   -       0.00    0.00        9.45     9.45        18.90    0.00              0.00  
GCA_000211475.1_crisprs  0.00   0.00    -       0.00    0.00        108.92   0.00        68.47    0.00              0.00  
GCA_000214665.1_crisprs  0.00   0.00    -       0.00    0.00        0.00     0.00        0.00     15.19             0.00  
GCA_000221185.1_crisprs  -      0.00    -       0.00    0.00        25.29    0.00        0.00     189.71            238.53
GCA_000307105.1_crisprs  28.27  174.32  -       0.00    0.00        36.91    0.00        2925.24  221.48            0.00  
GCA_000591035.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000626635.1_crisprs  -      0.00    -       0.00    0.00        0.00     0.00        0.00     0.00              0.00  
GCA_000725425.1_crisprs  0.00   82.10   -       54.73   0.00        41.05    0.00        805.84   114.91            13.68 
