Assemblies               ABySS  A_STAR  Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      865     -     733     1251        1251     1251        1251     1251              1146  
GCA_000012885.1_crisprs  -      981     -     4157    6799        6738     6799        6799     6734              6799  
GCA_000012985.1_crisprs  -      898     -     2492    3670        1481     3670        3604     3608              2425  
GCA_000014865.1_crisprs  -      896     -     4153    9260        4327     9260        9260     4759              5784  
GCA_000014885.1_crisprs  -      206     -     206     206         206      206         206      206               206   
GCA_000015145.1_crisprs  805    2094    3184  3306    3306        3306     3306        3305     -                 3306  
GCA_000016425.1_crisprs  -      480     -     1624    1624        943      1624        957      1624              877   
GCA_000020525.1_crisprs  -      894     -     7541    10622       6797     10622       6448     10599             9938  
GCA_000192865.1_crisprs  -      929     -     3088    4153        3614     4153        3148     3148              4155  
GCA_000195335.1_crisprs  511    1779    -     3455    3455        3455     3455        3455     3446              3455  
GCA_000211475.1_crisprs  647    2885    -     5747    5747        5747     5747        5747     5747              5747  
GCA_000214665.1_crisprs  614    877     -     4288    4288        4288     4288        419      4228              4288  
GCA_000221185.1_crisprs  -      779     -     1986    2558        2558     2558        2558     2564              2040  
GCA_000307105.1_crisprs  1751   2051    -     4504    4504        4370     4504        1880     4458              4504  
GCA_000591035.1_crisprs  -      1199    -     1953    2188        2188     2188        2188     2188              907   
GCA_000626635.1_crisprs  -      298     -     180     298         298      298         298      298               298   
GCA_000725425.1_crisprs  3437   3303    -     3370    3437        3504     3437        2105     3303              3470  
