Assemblies               ABySS  A_STAR  Flye  HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      4       -     6       1           9        6           2        2                 3     
GCA_000012885.1_crisprs  -      8       -     4       1           9        3           1        1                 1     
GCA_000012985.1_crisprs  -      4       -     12      1           20       6           3        1                 4     
GCA_000014865.1_crisprs  -      4       -     8       1           13       3           2        2                 3     
GCA_000014885.1_crisprs  -      2       -     2       1           3        3           1        1                 1     
GCA_000015145.1_crisprs  4      8       4     3       1           10       3           3        -                 1     
GCA_000016425.1_crisprs  -      2       -     4       1           10       6           2        1                 3     
GCA_000020525.1_crisprs  -      8       -     11      1           27       6           4        3                 3     
GCA_000192865.1_crisprs  -      12      -     10      1           15       11          3        4                 5     
GCA_000195335.1_crisprs  1      14      -     12      1           20       12          7        5                 5     
GCA_000211475.1_crisprs  1      11      -     4       1           11       6           3        1                 1     
GCA_000214665.1_crisprs  3      14      -     8       1           15       12          1        2                 2     
GCA_000221185.1_crisprs  -      17      -     17      1           21       13          4        4                 7     
GCA_000307105.1_crisprs  5      16      -     7       1           9        9           1        3                 3     
GCA_000591035.1_crisprs  -      10      -     11      1           13       13          3        4                 8     
GCA_000626635.1_crisprs  -      2       -     4       1           3        3           1        1                 1     
GCA_000725425.1_crisprs  6      18      -     5       1           12       9           4        2                 2     
not_aligned              9877   114184  185   34511   43          40090    45250       10446    5477              43474 
