Assemblies               ABySS  A_STAR  Flye   HipMer  marmgCAMI2  Megahit  metaSPAdes  Miniasm  OPERA_MS_inhouse  SPAdes
GCA_000011185.1_crisprs  -      4106    -      3498    2397        7502     7191        2383     2397              2548  
GCA_000012885.1_crisprs  -      8482    -      13208   6799        15313    20397       6799     6734              6799  
GCA_000012985.1_crisprs  -      4392    -      11441   5818        13783    17454       5752     5759              5554  
GCA_000014865.1_crisprs  -      2790    -      18540   9260        19146    27780       9333     8937              9536  
GCA_000014885.1_crisprs  -      412     -      412     206         618      618         206      206               206   
GCA_000015145.1_crisprs  2764   20982   11168  12907   6488        17461    19464       19461    -                 6488  
GCA_000016425.1_crisprs  -      1582    -      3706    1624        5200     5559        1720     1624              1878  
GCA_000020525.1_crisprs  -      4526    -      33592   17070       39422    51210       14134    17961             16990 
GCA_000192865.1_crisprs  -      8988    -      19827   10146       25942    30433       4552     9957              10523 
GCA_000195335.1_crisprs  511    9996    -      21177   10583       26240    31680       10859    10612             10743 
GCA_000211475.1_crisprs  647    11395   -      22034   11017       25887    33051       5937     11017             11017 
GCA_000214665.1_crisprs  1319   6930    -      13168   6584        17149    19752       419      6524              6584  
GCA_000221185.1_crisprs  -      9561    -      15750   7907        20818    23618       7907     7848              7346  
GCA_000307105.1_crisprs  3647   10212   -      10759   5418        12284    16254       1880     5372              5418  
GCA_000591035.1_crisprs  -      9200    -      9063    4427        14185    14046       4642     4640              3995  
GCA_000626635.1_crisprs  -      596     -      698     298         894      894         298      298               298   
GCA_000725425.1_crisprs  14616  23968   -      14512   7308        20296    21924       11996    6837              7341  
