Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	51284	-	0	1584791	12930	10215	0	46714	0
GCA_000012885.1_crisprs	-	152562	-	87393	3665852	189335	208419	50405	44893	13545
GCA_000012985.1_crisprs	-	145864	-	0	7215228	111778	88747	170201	95253	0
GCA_000014865.1_crisprs	-	0	-	140036	4719539	180720	267623	83507	187862	12914
GCA_000014885.1_crisprs	-	176172	-	0	5396452	58035	21828	15161	64738	0
GCA_000015145.1_crisprs	0	2432046	86436	776721	1667163	266645	3736443	7286997	-	1667163
GCA_000016425.1_crisprs	-	109606	-	42361	5183322	127934	103141	66150	57927	15693
GCA_000020525.1_crisprs	-	208818	-	1705711	3293431	1767618	1536717	802163	593948	95177
GCA_000192865.1_crisprs	-	292442	-	806333	4684311	1013935	894208	396596	371708	83540
GCA_000195335.1_crisprs	0	365306	-	627406	2269117	790810	637696	469564	987916	117010
GCA_000211475.1_crisprs	0	142244	-	1233921	1861292	891581	2085856	560810	475637	568045
GCA_000214665.1_crisprs	0	0	-	1244332	5051673	1225303	1399918	13654	989129	2581202
GCA_000221185.1_crisprs	-	82694	-	21427	2011287	235326	146679	132269	150818	0
GCA_000307105.1_crisprs	0	444868	-	1733750	5197896	2541353	2220491	407302	911169	907922
GCA_000591035.1_crisprs	-	270066	-	377478	1595975	407749	352463	142720	90829	0
GCA_000626635.1_crisprs	-	0	-	185761	5132065	133016	235844	76823	65484	0
GCA_000725425.1_crisprs	500944	2164197	-	2731938	1859369	1991448	4558984	8381890	1513471	1854709
