Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	83.813	-	77.680	100.000	100.000	100.000	99.416	100.000	100.000
GCA_000012885.1_crisprs	-	58.994	-	99.824	100.000	100.000	100.000	100.000	99.941	100.000
GCA_000012985.1_crisprs	-	37.745	-	99.897	100.000	99.862	100.000	100.000	100.000	92.454
GCA_000014865.1_crisprs	-	15.065	-	99.374	100.000	100.000	100.000	100.000	96.512	100.000
GCA_000014885.1_crisprs	-	100.000	-	100.000	100.000	100.000	100.000	100.000	100.000	100.000
GCA_000015145.1_crisprs	42.602	99.615	86.020	100.000	100.000	100.000	100.000	100.000	-	100.000
GCA_000016425.1_crisprs	-	42.688	-	100.000	87.642	100.000	100.000	87.642	87.642	100.000
GCA_000020525.1_crisprs	-	13.257	-	99.625	100.000	100.000	100.000	79.022	100.000	99.227
GCA_000192865.1_crisprs	-	43.835	-	98.673	98.966	98.966	98.966	42.041	93.396	98.966
GCA_000195335.1_crisprs	4.828	47.879	-	99.717	100.000	100.000	100.000	100.000	99.348	100.000
GCA_000211475.1_crisprs	5.873	49.850	-	100.000	100.000	100.000	100.000	53.027	100.000	100.000
GCA_000214665.1_crisprs	20.033	45.930	-	100.000	100.000	100.000	100.000	6.364	100.000	100.000
GCA_000221185.1_crisprs	-	58.821	-	98.191	100.000	100.000	100.000	100.000	100.000	90.135
GCA_000307105.1_crisprs	65.282	63.529	-	100.000	100.000	100.000	100.000	34.072	100.000	100.000
GCA_000591035.1_crisprs	-	98.040	-	99.698	95.368	100.000	100.000	100.000	99.957	78.479
GCA_000626635.1_crisprs	-	100.000	-	100.000	100.000	100.000	100.000	100.000	100.000	100.000
GCA_000725425.1_crisprs	100.000	100.000	-	100.000	100.000	100.000	100.000	89.997	95.265	100.000
