BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
SP108_S87	1934373.0	3741.533849129594	517.0	SP108_S87	1934373.0	517.0	1.0	1.0	1934373.0	517.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS03	4487888.0	29721.112582781458	151.0	MIKI-NS03	4487888.0	151.0	1.0	1.0	4487888.0	151.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
spades_And8457_S3_L001	4927240.0	60088.29268292683	82.0	spades_And8457_S3_L001	4927240.0	82.0	1.0	1.0	4927240.0	82.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS08	2548574.0	254857.4	10.0	MIKI-NS08	2548574.0	10.0	1.0	1.0	2548574.0	10.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS20	5362682.0	25782.125	208.0	MIKI-NS20	5362682.0	208.0	1.0	1.0	5362682.0	208.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS06	1964616.0	63374.709677419356	31.0	MIKI-NS06	1964616.0	31.0	1.0	1.0	1964616.0	31.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS12	2251851.0	31275.708333333332	72.0	MIKI-NS12	2251851.0	72.0	1.0	1.0	2251851.0	72.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS10	2092134.0	20921.34	100.0	MIKI-NS10	2092134.0	100.0	1.0	1.0	2092134.0	100.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS02	2999760.0	69761.86046511628	43.0	MIKI-NS02	2999760.0	43.0	1.0	1.0	2999760.0	43.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS14	5248865.0	122066.62790697675	43.0	MIKI-NS14	5248865.0	43.0	1.0	1.0	5248865.0	43.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS15	6804298.0	70878.10416666667	96.0	MIKI-NS15	6804298.0	96.0	1.0	1.0	6804298.0	96.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS09	2039640.0	92710.90909090909	22.0	MIKI-NS09	2039640.0	22.0	1.0	1.0	2039640.0	22.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
spades_ESBL6643_S3_L001	5120124.0	232732.9090909091	22.0	spades_ESBL6643_S3_L001	5120124.0	22.0	1.0	1.0	5120124.0	22.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS13	7206672.0	277179.6923076923	26.0	MIKI-NS13	7206672.0	26.0	1.0	1.0	7206672.0	26.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
SP21_S92	1689680.0	129975.38461538461	13.0	SP21_S92	1689680.0	13.0	1.0	1.0	1689680.0	13.0	1.0	1.0	NA	Gold standard	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.117	1931163.0	113597.82352941176	17.0	MIKI-NS06	1931163.0	17.0	1.0	1.0	1964616.0	31.0	0.9829722449577932	0.5483870967741935	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.122	22225.0	3704.1666666666665	6.0	SP108_S87	22225.0	6.0	1.0	1.0	1934373.0	517.0	0.011489511071546181	0.01160541586073501	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.143	2531615.0	316451.875	8.0	MIKI-NS08	2531615.0	8.0	1.0	1.0	2548574.0	10.0	0.9933456905704916	0.8	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.165	6837044.0	359844.4210526316	19.0	MIKI-NS13	6837044.0	19.0	1.0	1.0	7206672.0	26.0	0.9487103062273404	0.7307692307692307	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.188	2466.0	2466.0	1.0	SP108_S87	2466.0	1.0	1.0	1.0	1934373.0	517.0	0.0012748316896482735	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.209	1296399.0	162049.875	8.0	MIKI-NS09	1296399.0	8.0	1.0	1.0	2039640.0	22.0	0.6356018709183974	0.36363636363636365	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.214	4813691.0	145869.42424242425	33.0	MIKI-NS14	4813691.0	33.0	1.0	1.0	5248865.0	43.0	0.9170917903203836	0.7674418604651163	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.217	3273.0	3273.0	1.0	MIKI-NS02	3273.0	1.0	1.0	1.0	2999760.0	43.0	0.0010910872869829586	0.023255813953488372	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.222	14076.0	14076.0	1.0	SP108_S87	14076.0	1.0	1.0	1.0	1934373.0	517.0	0.007276776505875548	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.224	11118.0	5559.0	2.0	SP108_S87	11118.0	2.0	1.0	1.0	1934373.0	517.0	0.005747598834350976	0.0038684719535783366	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.225	2028732.0	26693.842105263157	76.0	MIKI-NS10	2028732.0	76.0	1.0	1.0	2092134.0	100.0	0.969695057773546	0.76	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.230	2563.0	2563.0	1.0	SP108_S87	2563.0	1.0	1.0	1.0	1934373.0	517.0	0.0013249771372946168	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.247	15625.0	7812.5	2.0	SP108_S87	15625.0	2.0	1.0	1.0	1934373.0	517.0	0.008077552778083648	0.0038684719535783366	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.249	5109940.0	319371.25	16.0	spades_ESBL6643_S3_L001	5109940.0	16.0	1.0	1.0	5120124.0	22.0	0.9980109856714408	0.7272727272727273	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.254	3055.0	3055.0	1.0	SP108_S87	3055.0	1.0	1.0	1.0	1934373.0	517.0	0.0015793231191709148	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.284	6595258.0	98436.68656716419	67.0	MIKI-NS15	6595258.0	67.0	1.0	1.0	6804298.0	96.0	0.9692782414879536	0.6979166666666666	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.290	5669.0	5669.0	1.0	SP108_S87	5669.0	1.0	1.0	1.0	1934373.0	517.0	0.002930665388733197	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.300	2960474.0	80012.81081081081	37.0	MIKI-NS02	2960474.0	37.0	1.0	1.0	2999760.0	43.0	0.9869036189561832	0.8604651162790697	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.303	11078.0	5539.0	2.0	SP108_S87	11078.0	2.0	1.0	1.0	1934373.0	517.0	0.005726920299239081	0.0038684719535783366	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.323	4918455.0	52886.6129032258	93.0	MIKI-NS20	4918455.0	93.0	1.0	1.0	5362682.0	208.0	0.9171632776286194	0.44711538461538464	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.335	730256.0	146051.2	5.0	SP21_S92	730256.0	5.0	1.0	1.0	1689680.0	13.0	0.432185976042801	0.38461538461538464	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.349	4047229.0	55441.49315068493	73.0	MIKI-NS03	4047229.0	73.0	1.0	1.0	4487888.0	151.0	0.9018114979696463	0.48344370860927155	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.368	8011.0	8011.0	1.0	SP108_S87	8011.0	1.0	1.0	1.0	1934373.0	517.0	0.004141393619534598	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.370	2225370.0	34771.40625	64.0	MIKI-NS12	2225370.0	64.0	1.0	1.0	2251851.0	72.0	0.9882403409461816	0.8888888888888888	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.375	447099.0	223549.5	2.0	MIKI-NS09	447099.0	2.0	1.0	1.0	2039640.0	22.0	0.2192048596811202	0.09090909090909091	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.396	6255.0	6255.0	1.0	SP108_S87	6255.0	1.0	1.0	1.0	1934373.0	517.0	0.0032336059281224457	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.400	899099.0	299699.6666666667	3.0	SP21_S92	899099.0	3.0	1.0	1.0	1689680.0	13.0	0.5321119975379953	0.23076923076923078	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.417	4944.0	4944.0	1.0	SP108_S87	4944.0	1.0	1.0	1.0	1934373.0	517.0	0.0025558669398301156	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.447	316427.0	158213.5	2.0	MIKI-NS13	316427.0	2.0	1.0	1.0	7206672.0	26.0	0.04390750682145656	0.07692307692307693	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.519	363086.0	363086.0	1.0	MIKI-NS14	363086.0	1.0	1.0	1.0	5248865.0	43.0	0.06917419289694057	0.023255813953488372	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.609	5971.0	5971.0	1.0	SP108_S87	5971.0	1.0	1.0	1.0	1934373.0	517.0	0.0030867883288279974	0.0019342359767891683	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.97	4640271.0	92805.42	50.0	spades_And8457_S3_L001	4640271.0	50.0	1.0	1.0	4927240.0	82.0	0.9417586721978227	0.6097560975609756	NA	MetaBAT 2.13-33 (A1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.106	1919303.0	119956.4375	16.0	MIKI-NS06	1919303.0	16.0	1.0	1.0	1964616.0	31.0	0.9769354418369799	0.5161290322580645	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.112	447099.0	223549.5	2.0	MIKI-NS09	447099.0	2.0	1.0	1.0	2039640.0	22.0	0.2192048596811202	0.09090909090909091	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.137	3917005.0	81604.27083333333	48.0	MIKI-NS20	3917005.0	48.0	1.0	1.0	5362682.0	208.0	0.7304190328645256	0.23076923076923078	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.140	2874548.0	99122.3448275862	29.0	MIKI-NS02	2874548.0	29.0	1.0	1.0	2999760.0	43.0	0.9582593274128597	0.6744186046511628	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.149	4022.0	4022.0	1.0	SP108_S87	4022.0	1.0	1.0	1.0	1934373.0	517.0	0.002079226705500956	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
