BINID	Tool	genome_id	length_gs	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
SP108_S87	Gold standard	SP108_S87	1934373	1.0	1.0	NA	1.0	1.0	517	3741.533849129594	1934373	517	1934373	517	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS03	Gold standard	MIKI-NS03	4487888	1.0	1.0	NA	1.0	1.0	151	29721.112582781458	4487888	151	4487888	151	strmgCAMI2_short_read_pooled_gold_standard_assembly
spades_And8457_S3_L001	Gold standard	spades_And8457_S3_L001	4927240	1.0	1.0	NA	1.0	1.0	82	60088.29268292683	4927240	82	4927240	82	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS08	Gold standard	MIKI-NS08	2548574	1.0	1.0	NA	1.0	1.0	10	254857.4	2548574	10	2548574	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS20	Gold standard	MIKI-NS20	5362682	1.0	1.0	NA	1.0	1.0	208	25782.125	5362682	208	5362682	208	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS06	Gold standard	MIKI-NS06	1964616	1.0	1.0	NA	1.0	1.0	31	63374.709677419356	1964616	31	1964616	31	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS12	Gold standard	MIKI-NS12	2251851	1.0	1.0	NA	1.0	1.0	72	31275.708333333332	2251851	72	2251851	72	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS10	Gold standard	MIKI-NS10	2092134	1.0	1.0	NA	1.0	1.0	100	20921.34	2092134	100	2092134	100	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS02	Gold standard	MIKI-NS02	2999760	1.0	1.0	NA	1.0	1.0	43	69761.86046511628	2999760	43	2999760	43	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS14	Gold standard	MIKI-NS14	5248865	1.0	1.0	NA	1.0	1.0	43	122066.62790697675	5248865	43	5248865	43	strmgCAMI2_short_read_pooled_gold_standard_assembly
