Assembly	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	2	0	0	0	0	0	0	0
  # contig misassemblies	2	0	0	0	0	0	0	0
    # c. relocations	0	0	0	0	0	0	0	0
    # c. translocations	2	0	0	0	0	0	0	0
    # c. inversions	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0
# misassembled contigs	2	0	0	0	0	0	0	0
Misassembled contigs length	3622	0	0	0	0	0	0	0
# possibly misassembled contigs	4	13	0	22	12	3	3	6
    # possible misassemblies	6	17	0	27	21	4	5	7
# local misassemblies	0	0	0	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0
# unaligned mis. contigs	8	3	1	2	3	3	2	2
# mismatches	26	2	0	71	20	4	19	13
# indels	0	0	0	0	1	1	0	1
    # indels (<= 5 bp)	0	0	0	0	0	1	0	0
    # indels (> 5 bp)	0	0	0	0	1	0	0	1
Indels length	0	0	0	0	18	1	0	18
