Assembly	ABySS	A_STAR	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
# misassemblies	0	0	0	0	0	0	0	0	0
  # contig misassemblies	0	0	0	0	0	0	0	0	0
    # c. relocations	0	0	0	0	0	0	0	0	0
    # c. translocations	0	0	0	0	0	0	0	0	0
    # c. inversions	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0	0
# possibly misassembled contigs	0	16	14	0	20	15	8	3	6
    # possible misassemblies	0	20	19	0	27	30	16	5	9
# local misassemblies	0	0	0	0	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	2	0	1	1	0	0	2	0
# mismatches	0	10	0	0	118	0	1	29	6
# indels	0	2	0	0	1	1	2	0	0
    # indels (<= 5 bp)	0	0	0	0	0	0	2	0	0
    # indels (> 5 bp)	0	2	0	0	1	1	0	0	0
Indels length	0	138	0	0	69	69	2	0	0
