Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
10_S10_contigs	17.328	16.723	0.117	24.235	27.262	26.852	10.514	12.840	16.906	15.128	16.629	13.642	14.081	0.0	16.757	19.746	7.376	32.699	44.874	49.673
10_S9_contigs	60.436	59.905	0.0	27.021	26.252	20.088	67.755	0.883	24.026	14.466	14.187	0.875	0.936	0.0	26.323	10.926	7.732	99.753	98.943	99.899
11_S11_contigs	96.307	96.304	99.177	98.238	98.726	97.943	81.115	88.968	97.755	96.930	98.670	95.724	98.668	0.272	87.918	99.018	6.148	99.977	99.922	99.977
12_S12_contigs	2.877	2.897	0.257	2.955	2.984	2.583	3.107	0.884	2.613	1.761	1.439	1.000	0.930	0.0	1.939	1.260	1.670	76.868	68.333	82.101
12_S1_contigs	30.563	30.218	0.002	54.393	54.406	49.153	34.736	5.007	27.909	20.122	19.897	12.762	2.214	0.0	22.833	18.553	14.896	99.885	98.827	99.907
13_S13_contigs	6.379	6.386	0.0	0.268	0.268	0.072	3.541	0.239	2.950	1.524	1.445	0.0	0.121	0.0	3.634	1.548	2.299	91.398	95.077	99.554
14_S2_contigs	1.838	2.470	0.166	1.537	1.813	1.400	1.763	0.803	1.773	0.325	0.414	0.452	0.127	0.0	0.992	0.364	1.182	96.715	98.186	99.822
15_S3_contigs	14.374	11.771	17.595	18.404	23.145	16.030	7.608	9.814	17.006	18.609	16.890	13.092	19.277	0.0	9.886	20.508	2.566	38.974	43.999	40.369
18_S4_contigs	11.500	13.712	0.041	17.571	17.476	15.358	6.759	1.507	8.547	8.375	8.911	4.635	0.545	0.0	7.995	7.706	6.992	48.268	50.007	53.398
19_S5_contigs	12.171	9.793	0.0	18.209	17.392	14.715	9.313	0.915	8.459	8.815	8.275	4.815	0.455	0.0	8.802	7.145	5.811	83.330	87.073	96.695
1_S1_contigs	4.805	5.062	0.080	7.904	7.151	6.291	4.155	2.094	4.580	5.200	4.226	4.225	1.468	0.0	3.171	5.847	1.775	52.967	51.880	68.075
20_S10_contigs	0.858	0.838	0.0	0.0	0.0	0.006	0.190	0.081	0.380	0.144	0.179	0.0	0.110	0.0	0.516	0.182	0.515	73.866	87.569	96.861
26_S2_contigs	66.992	66.699	0.0	42.812	41.783	33.755	78.309	1.283	31.430	26.787	26.685	2.329	1.983	0.0	38.658	20.266	9.257	99.747	98.151	99.816
2_S2_contigs	4.741	4.147	0.200	6.932	6.488	6.121	3.957	2.358	7.386	3.664	4.445	3.495	1.118	0.0	3.626	4.196	2.429	55.753	62.589	64.057
2_S8_contigs	4.517	4.362	0.012	0.212	0.186	0.082	2.806	0.160	1.927	0.814	0.787	0.0	0.017	0.0	2.147	0.688	1.804	91.492	95.291	99.533
33_S3_contigs	0.004	0.026	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.020	0.0	0.0	0.002	0.002	0.0	1.835	24.527	26.692
35_S4_contigs	0.327	0.342	0.0	0.141	0.113	0.056	0.239	0.058	0.132	0.083	0.080	0.0	0.013	0.0	0.112	0.093	0.101	36.837	69.846	82.416
38_S5_contigs	0.724	0.736	0.0	0.369	0.414	0.215	1.641	0.087	0.307	0.208	0.182	0.002	0.060	0.0	0.145	0.213	0.241	68.765	86.346	96.402
3_S3_contigs	5.259	4.560	0.122	7.005	7.752	5.998	6.312	2.064	4.222	3.856	4.219	3.345	1.287	0.0	4.892	5.503	1.818	55.088	66.401	61.020
4_S4_contigs	2.408	2.114	0.131	0.909	1.165	1.051	1.732	0.419	1.172	0.734	1.055	0.559	0.356	0.0	1.169	0.671	0.866	84.417	94.124	98.793
5_S5_contigs	1.476	1.412	0.103	0.860	1.018	0.696	0.930	0.372	1.094	0.484	0.457	0.465	0.343	0.0	0.615	0.554	0.754	26.796	49.676	58.898
6_S6_contigs	4.399	7.157	7.558	10.595	10.914	7.187	3.557	4.688	6.843	7.245	8.723	6.744	7.229	0.0	5.720	12.050	1.180	56.269	61.091	64.755
8_S8_contigs	16.050	16.463	0.114	26.173	29.628	28.002	11.807	13.232	24.093	15.794	14.540	15.070	13.233	0.0	16.166	19.743	8.798	72.096	82.364	80.663
9_S9_contigs	17.628	18.267	12.854	21.516	16.402	19.514	13.519	23.987	24.503	11.307	11.622	19.931	14.915	0.0	13.659	11.999	15.522	99.860	99.239	99.846
A_2013_70_F524_1_S1_contigs	8.867	8.967	0.264	2.582	3.368	3.366	2.004	6.855	3.178	0.948	0.941	0.731	2.941	0.0	4.802	4.718	3.776	57.626	65.071	58.258
A_2013_70_F524_2_S2_contigs	8.240	8.700	0.346	3.960	2.620	2.757	1.916	2.478	0.481	2.341	2.761	3.666	3.685	0.0	7.373	1.398	6.741	57.067	66.766	80.638
A_2014_70_F537_S3_contigs	7.779	6.361	0.356	2.086	1.864	3.800	2.354	0.826	1.392	1.959	1.501	2.503	1.577	0.0	3.587	4.056	1.970	50.673	54.905	65.579
A_H_1309_4_4_S6_contigs	16.777	17.673	16.276	24.077	22.412	13.946	11.555	12.414	22.007	20.219	20.244	15.362	34.683	0.0	13.014	25.275	4.478	95.983	92.379	97.534
A_H_1309_5_2_S7_contigs	2.927	2.711	0.666	2.138	1.902	1.251	2.305	1.431	1.561	1.327	1.164	1.464	0.539	0.0	1.547	0.895	1.675	86.757	94.489	98.440
A_H130426_2_S6_contigs	1.506	1.429	0.0	0.651	0.564	0.306	1.611	0.125	0.470	0.286	0.322	0.039	0.098	0.0	0.573	0.221	0.770	74.674	88.381	97.224
A_H1309_1_3_S8_contigs	1.676	1.669	0.624	2.138	1.921	1.027	1.399	0.978	1.959	1.298	0.684	2.174	0.547	0.0	1.002	0.737	0.842	33.028	68.279	77.252
A_H1309_4_1_S7_contigs	2.589	2.491	0.0	0.850	0.856	0.444	2.541	0.247	1.061	0.542	0.554	0.097	0.128	0.0	1.121	0.464	1.091	96.564	97.221	99.723
A_H1309_4_3_S10_contigs	11.132	11.005	13.149	17.944	15.356	14.510	8.901	13.396	15.381	11.864	12.344	14.061	15.233	0.0	10.359	17.849	3.645	35.306	47.687	48.404
A_H1309_5II_S9_contigs	2.027	1.910	0.143	1.067	1.028	0.590	1.626	0.232	0.854	0.633	0.513	0.291	0.110	0.0	1.006	0.561	1.083	98.601	97.108	99.649
A_Hdes_10_S9_contigs	3.105	2.947	0.033	6.435	7.116	5.900	2.159	1.043	2.822	2.353	2.038	2.867	0.390	0.0	2.775	2.620	2.697	37.466	45.356	39.261
A_Hdes_11_S10_contigs	2.493	2.383	0.114	1.948	1.897	1.473	2.610	0.373	1.604	0.768	0.682	0.343	0.156	0.0	1.009	0.629	1.135	97.366	97.539	99.808
A_Hdes_12_S11_contigs	4.662	4.521	0.031	7.223	7.738	7.496	4.574	1.351	3.935	2.944	3.831	2.170	0.638	0.0	3.178	2.999	3.979	48.283	64.537	79.955
A_Hdes_19_S12_contigs	5.775	5.764	0.976	1.414	1.862	1.622	3.929	1.813	2.298	1.725	1.691	2.520	0.687	0.0	1.825	2.327	1.590	95.354	96.252	99.324
A_Hdes_20_1_S13_contigs	5.639	5.149	0.069	8.512	8.219	7.073	5.239	2.426	6.869	4.519	4.269	3.194	0.503	0.0	5.300	4.155	4.331	81.220	73.685	89.126
A_Hdes_3_S8_contigs	3.856	3.709	0.0	1.204	1.261	0.624	3.636	0.294	1.082	0.755	0.758	0.031	0.103	0.0	0.903	0.679	1.158	89.947	93.273	98.881
A15_S15_contigs	0.259	0.238	0.028	0.131	0.162	0.079	0.363	0.064	0.131	0.086	0.084	0.0	0.006	0.0	0.170	0.071	0.238	27.993	54.665	66.111
A16_S16_contigs	2.032	1.824	0.0	0.927	0.942	0.444	1.831	0.118	0.614	0.515	0.395	0.018	0.058	0.0	0.417	0.213	0.481	36.681	45.012	57.710
A1_S1_contigs	5.666	5.872	3.771	2.233	2.340	4.692	8.437	5.264	3.138	2.078	3.233	3.669	2.132	0.0	4.687	1.794	6.028	21.946	24.638	31.998
A22_S22_contigs	0.339	0.338	0.030	0.194	0.211	0.112	0.137	0.036	0.158	0.085	0.114	0.0	0.016	0.0	0.175	0.115	0.116	28.048	55.961	59.895
A25_S9_contigs	1.906	2.123	0.0	0.862	0.868	0.369	1.711	0.170	0.974	0.322	0.418	0.0	0.034	0.0	0.667	0.271	0.761	38.766	55.617	57.790
A2_S2_contigs	5.897	5.940	3.148	2.380	3.128	6.318	7.115	6.034	3.690	2.983	3.445	3.698	1.559	0.0	4.845	1.549	4.307	24.240	25.061	30.849
A3_S3_contigs	12.323	10.836	8.320	12.233	14.292	11.508	6.799	11.579	13.545	12.739	10.746	11.283	8.746	0.0	13.103	13.175	5.654	70.792	69.703	69.894
A4_S4_contigs	6.421	6.875	3.671	1.918	2.517	4.111	5.761	3.252	3.265	2.075	2.071	3.602	0.844	0.0	3.539	1.045	3.372	66.421	56.037	65.632
A5_S5_contigs	3.930	4.251	5.748	5.220	6.271	5.103	5.387	4.056	3.798	3.341	3.298	5.983	0.406	0.0	4.275	4.039	2.524	44.365	48.544	54.897
A6_S6_contigs	7.181	5.958	6.856	5.694	4.838	5.588	4.853	5.564	7.278	4.762	3.131	7.610	2.869	0.0	5.949	3.928	1.740	82.686	77.813	79.593
A7_S7_contigs	4.957	4.302	7.721	5.955	9.697	5.251	4.638	6.079	7.949	10.145	9.033	5.666	2.690	0.0	5.089	7.515	0.901	55.715	62.045	67.847
A8_S8_contigs	4.929	3.019	7.942	9.292	8.039	3.892	4.494	5.068	6.253	7.836	9.791	6.687	1.731	0.0	6.872	7.296	0.995	52.573	57.702	71.289
A9_2_S2_contigs	1.832	1.690	0.0	0.908	0.794	0.406	1.939	0.191	0.856	0.296	0.272	0.0	0.007	0.0	0.408	0.396	0.659	40.428	58.124	59.145
AW02J18_S11_contigs	99.343	99.311	99.470	99.127	99.412	99.312	84.912	97.834	99.451	98.643	98.920	99.551	99.418	0.0	97.271	99.600	68.523	99.992	99.888	99.993
AW19M33_S12_contigs	6.356	6.310	0.0	0.359	0.349	0.146	4.035	0.246	2.658	1.136	1.184	0.0	0.092	0.0	2.841	0.865	2.140	91.889	94.795	99.527
Acidobacteria_bacterium_Mor1_genomic	3.323	3.249	0.0	0.145	0.145	0.049	1.445	0.208	1.550	0.497	0.532	0.0	0.201	0.0	1.561	0.547	1.366	85.855	93.648	99.196
Aciduliprofundum_boonei_T469_genomic	30.134	28.338	0.0	5.896	5.649	3.605	30.939	0.669	9.894	8.889	8.847	0.057	0.767	0.0	11.932	8.425	4.438	98.936	99.044	99.996
Aciduliprofundum_sp_MAR08_339_genomic	59.863	58.331	0.0	24.579	23.941	18.077	65.424	0.564	21.928	24.579	24.466	1.011	1.262	0.0	37.650	22.979	5.519	99.769	99.714	99.997
Acinetobacter_venetianus_VE_C3_genomic	86.966	87.432	0.102	79.118	78.451	73.677	91.116	4.130	82.184	76.256	76.419	24.760	4.044	0.0	86.283	59.120	45.477	99.984	99.921	99.999
Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic	0.175	0.169	0.0	0.0	0.0	0.0	0.012	0.020	0.064	0.039	0.059	0.0	0.028	0.0	0.116	0.088	0.044	42.181	72.947	85.164
Actinoalloteichus_sp_ADI127_7_genomic	31.596	32.721	0.0	10.821	10.560	7.216	36.742	0.580	10.423	6.507	6.495	0.170	0.573	0.0	11.455	5.896	3.964	94.210	99.537	99.996
Actinoalloteichus_sp_GBA129_24_genomic	10.810	7.299	0.0	5.830	5.637	4.214	17.831	0.320	4.207	3.186	3.051	0.116	0.327	0.0	3.990	2.873	2.269	17.033	47.796	55.152
Aeromonas_salmonicida_subsp_salmonicida_A449_genomic	37.957	37.969	0.866	89.224	90.095	85.305	45.258	84.384	88.929	91.034	91.065	87.995	81.546	0.0	77.289	82.030	76.808	99.998	99.968	99.998
Aeropyrum_camini_SY1_JCM_12091_genomic	98.276	98.252	0.0	99.755	99.719	99.745	99.643	87.067	99.736	99.647	99.647	94.434	34.408	0.0	99.672	99.522	99.403	99.999	99.984	99.999
Aeropyrum_pernix_K1_genomic	0.261	0.295	0.0	0.0	0.0	0.0	0.0	0.033	0.088	0.017	0.017	0.0	0.009	0.0	0.093	0.0	0.147	43.678	74.859	87.653
Agarivorans_gilvus_strain_WH0801_genomic	25.193	24.588	0.021	6.492	6.287	3.692	28.231	0.608	9.595	7.328	7.345	0.189	0.540	0.0	11.877	7.425	5.000	98.908	99.353	99.994
Agrococcus_jejuensis_strain_DSM_22002_genomic	1.458	1.416	0.0	0.002	0.002	0.0	0.447	0.100	0.655	0.094	0.094	0.002	0.073	0.0	0.560	0.205	0.377	74.834	89.430	97.940
Alcanivorax_borkumensis_SK2_genomic	0.194	0.190	0.0	0.048	0.022	0.027	0.0	0.059	0.093	0.024	0.024	0.019	0.040	0.0	0.109	0.065	0.108	42.831	73.441	86.131
Alcanivorax_dieselolei_B5_genomic	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.013	0.0	0.0	0.0	0.003	0.0	0.016	0.004	0.006	3.615	29.793	33.150
Alcanivorax_sp_W11_5_genomic	2.122	2.079	0.0	0.052	0.094	0.038	0.846	0.192	0.800	0.464	0.495	0.0	0.097	0.0	1.026	0.445	0.747	79.001	90.331	98.186
Algibacter_sp_HZ22_genomic	67.226	66.994	3.579	99.232	99.226	98.835	93.501	98.952	99.065	98.890	98.732	98.178	98.685	0.0	98.551	99.004	94.150	100.000	99.990	100.000
Aliivibrio_salmonicida_LFI1238_genomic	18.477	21.683	9.584	18.639	15.637	7.273	8.735	16.901	16.741	16.066	11.147	10.223	50.758	0.0	12.688	10.209	1.871	68.615	95.855	99.903
Aliivibrio_wodanis_genomic	3.882	4.419	0.504	4.515	4.113	2.899	3.523	1.814	2.576	2.311	2.315	2.074	1.338	0.0	2.301	2.218	1.895	83.487	99.203	99.984
Altererythrobacter_atlanticus_strain_26DY36_genomic	0.145	0.148	0.0	0.0	0.0	0.0	0.035	0.026	0.033	0.049	0.022	0.0	0.010	0.0	0.080	0.009	0.063	21.179	57.381	68.316
Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic	0.516	0.503	0.0	0.017	0.017	0.002	0.085	0.079	0.287	0.052	0.059	0.0	0.012	0.0	0.433	0.168	0.224	62.861	83.842	94.798
Altererythrobacter_epoxidivorans_CGMCC_17731_genomic	1.878	1.867	0.0	0.0	0.0	0.007	0.555	0.150	0.879	0.282	0.310	0.0	0.080	0.0	1.181	0.329	0.887	80.143	91.971	98.484
Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic	8.176	7.913	0.0	0.627	0.608	0.224	5.667	0.242	3.171	1.745	1.728	0.005	0.053	0.0	4.254	2.000	3.203	93.932	96.957	99.740
Altererythrobacter_marensis_strain_KCTC_22370_genomic	15.761	15.062	0.0	2.575	2.445	1.236	15.698	0.338	6.627	2.958	2.958	0.002	0.200	0.0	6.286	2.646	4.475	97.784	98.759	99.961
Altererythrobacter_namhicola_strain_JCM_16345_genomic	68.479	68.332	0.0	38.435	37.460	29.636	73.822	0.866	30.241	19.720	19.011	1.408	0.813	0.0	30.293	14.213	7.494	99.931	99.899	99.996
Alteromonas_australica_DE170_genomic	34.479	33.424	0.076	11.102	10.726	7.282	40.917	0.632	9.136	8.895	8.829	0.531	0.457	0.0	12.150	9.557	4.284	98.404	99.064	99.993
Alteromonas_australica_H_17_genomic	0.866	0.741	0.0	1.169	1.219	0.717	2.130	0.080	0.329	0.307	0.370	0.012	0.056	0.0	0.468	0.466	0.350	45.027	74.114	86.043
Alteromonas_macleodii_ATCC_27126_genomic	19.447	19.204	2.390	42.546	46.628	40.022	27.377	19.897	33.983	13.256	13.330	20.192	12.919	0.0	19.484	19.123	15.976	100.000	99.994	100.000
Alteromonas_macleodii_AltDE1_genomic	7.953	9.539	3.632	6.022	5.913	5.489	3.765	8.172	6.187	4.257	3.525	3.601	5.490	0.314	6.045	4.218	2.203	35.761	33.477	31.420
Alteromonas_macleodii_str_Aegean_Sea_MED64_genomic	32.006	31.685	21.244	25.897	28.916	19.863	15.925	19.471	27.409	26.678	24.068	21.627	21.969	0.088	18.164	26.430	8.409	100.000	99.998	100.000
Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic	35.402	35.028	12.455	68.664	79.943	61.966	30.155	36.692	56.184	56.887	57.061	55.098	44.307	0.0	52.369	73.050	15.938	100.000	99.994	100.000
Alteromonas_macleodii_str_Black_Sea_11_genomic	54.346	54.082	0.288	69.540	77.652	79.952	44.456	47.636	70.236	36.441	36.042	56.260	17.537	0.0	57.328	49.063	39.096	100.000	99.996	100.000
Alteromonas_macleodii_str_Deep_ecotype_genomic	12.914	13.432	2.470	9.267	9.719	8.207	9.355	2.269	8.831	8.616	9.002	4.455	1.930	0.0	8.230	8.089	4.310	99.473	99.982	100.000
Alteromonas_macleodii_str_English_Channel_615_genomic	10.733	10.375	1.886	5.933	6.430	4.499	8.200	1.485	4.345	5.153	4.600	2.670	0.638	0.0	5.427	4.370	2.094	99.958	99.873	99.998
Alteromonas_macleodii_str_English_Channel_673_genomic	0.851	0.686	0.437	1.580	1.632	1.651	1.502	0.519	1.061	0.356	0.343	0.625	0.304	0.0	0.644	0.612	0.980	11.631	47.078	54.527
Alteromonas_macleodii_str_Ionian_Sea_U4_genomic	13.116	13.550	8.145	15.316	12.698	9.067	10.378	9.533	17.174	9.338	11.156	9.903	11.908	0.0	9.875	11.185	6.021	95.172	96.102	99.996
Alteromonas_macleodii_str_Ionian_Sea_U7_genomic	11.835	12.666	7.648	7.652	11.357	5.555	5.423	6.479	10.749	7.954	10.019	6.525	6.842	0.0	4.697	11.013	3.514	2.225	16.714	16.953
Alteromonas_macleodii_str_Ionian_Sea_U8_genomic	13.903	12.714	11.107	14.496	14.198	11.445	10.863	7.979	11.806	10.892	10.142	9.729	7.914	0.0	8.523	11.459	3.124	99.999	99.996	100.000
Alteromonas_macleodii_str_Ionian_Sea_UM4b_genomic	9.866	9.610	3.301	11.607	11.897	8.220	4.378	7.034	9.647	7.149	6.579	9.243	9.729	0.0	7.704	8.295	5.267	99.436	99.994	100.000
Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic	10.607	8.049	3.532	5.683	6.233	6.421	6.080	3.340	7.057	5.139	5.409	8.082	5.575	0.0	3.281	5.984	2.140	51.494	90.576	95.239
Alteromonas_mediterranea_strain_AR43_genomic	4.558	4.674	0.487	7.188	7.721	5.985	2.089	2.928	4.847	3.675	3.268	5.267	2.081	0.0	4.675	5.523	3.380	17.528	35.937	40.671
Alteromonas_mediterranea_strain_CP48_genomic	37.099	37.676	37.426	51.079	48.085	34.207	29.512	29.699	48.112	25.314	28.817	30.099	26.348	0.097	20.445	28.548	5.798	100.000	99.998	100.000
Alteromonas_mediterranea_strain_CP49_genomic	14.132	13.332	2.594	6.229	7.379	6.692	2.794	5.195	4.624	6.663	4.165	10.867	1.773	0.0	10.290	2.062	15.283	99.998	99.980	99.998
Alteromonas_mediterranea_strain_RG65_genomic	9.795	9.470	0.834	4.771	4.780	3.852	8.384	0.621	4.367	4.019	4.024	1.818	0.293	0.0	5.416	3.003	1.005	99.924	99.965	99.995
Alteromonas_sp_Mex14_genomic	1.050	1.032	0.015	0.022	0.028	0.018	0.128	0.111	0.393	0.074	0.065	0.0	0.049	0.0	0.568	0.065	0.425	71.881	87.786	97.166
Alteromonas_sp_RW2A1_genomic	71.479	71.185	0.610	96.878	96.860	95.674	45.370	93.105	94.358	92.820	93.000	91.872	73.014	0.0	92.389	94.548	91.609	100.000	99.990	100.000
Alteromonas_sp_SN2_genomic	0.191	0.234	0.012	0.123	0.133	0.059	0.136	0.058	0.053	0.037	0.048	0.040	0.125	0.0	0.116	0.056	0.096	32.067	66.697	78.626
Alteromonas_stellipolaris_LMG_21856_genomic	2.447	1.506	0.0	4.580	5.051	4.484	1.647	0.227	1.602	1.729	1.842	2.596	0.238	0.0	1.143	1.683	0.704	22.735	46.451	51.407
Alteromonas_stellipolaris_strain_PQQ_42_genomic	2.479	2.389	0.0	5.504	5.836	6.628	1.869	0.351	1.331	1.163	1.645	2.933	0.368	0.0	1.058	2.311	0.933	52.756	81.388	92.054
Alteromonas_stellipolaris_strain_PQQ_44_genomic	74.490	75.845	0.0	68.214	66.667	60.772	86.265	1.901	68.015	68.466	67.533	21.134	2.896	0.0	73.470	50.464	25.177	99.981	99.943	99.998
Arcanobacterium_phocae_strain_DSM_10002_genomic	20.263	19.696	0.0	3.470	3.241	2.373	18.266	0.391	7.170	6.354	6.493	0.241	0.361	0.0	10.455	5.804	6.303	97.918	98.549	99.984
Archaeoglobus_fulgidus_DSM_4304_genomic	8.635	7.787	1.876	3.880	0.847	0.581	4.970	2.354	1.293	0.870	0.920	0.323	0.158	0.0	5.975	1.048	11.517	98.578	99.480	99.997
Archaeoglobus_fulgidus_DSM_8774_genomic	25.248	25.806	2.859	96.798	99.571	99.083	33.341	96.858	99.237	99.039	98.954	97.985	99.695	0.0	94.355	99.076	85.196	100.000	99.981	100.000
Archaeoglobus_profundus_DSM_5631_genomic	10.227	9.815	0.0	0.995	0.995	0.384	7.315	0.250	3.966	3.173	3.202	0.0	0.280	0.0	5.625	3.074	4.229	94.341	96.422	99.864
Archaeoglobus_veneficus_SNP6_genomic	0.883	0.883	0.0	0.069	0.069	0.042	0.153	0.056	0.300	0.196	0.196	0.042	0.096	0.0	0.665	0.101	0.493	56.597	80.519	92.652
Arthrobacter_sp_PAMC25486_genomic	0.031	0.031	0.0	0.0	0.0	0.0	0.0	0.009	0.012	0.002	0.002	0.0	0.003	0.0	0.018	0.003	0.002	15.568	51.882	60.628
