Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
10_S10_contigs	31.682	33.834	0.117	32.689	31.254	28.224	12.657	32.504	28.585	19.621	21.127	14.031	22.385	0.0	27.245	23.442	27.677	32.699	44.874	49.673
10_S9_contigs	93.307	93.473	0.0	28.290	27.358	20.503	68.298	87.485	91.064	81.101	81.321	0.892	50.687	0.0	92.255	59.767	89.986	99.753	98.943	99.899
11_S11_contigs	96.539	96.368	97.906	96.396	97.191	98.179	93.642	93.830	96.765	96.376	96.894	93.392	97.256	0.272	91.366	97.399	24.761	99.977	99.922	99.977
12_S12_contigs	8.714	10.006	0.507	4.467	4.176	3.325	6.414	8.885	7.776	2.594	1.996	1.129	2.469	0.0	6.690	2.427	6.343	76.868	68.333	82.101
12_S1_contigs	65.010	64.022	0.0	61.834	60.592	50.870	38.619	72.651	77.574	30.017	29.699	12.888	27.404	0.0	66.998	36.406	67.217	99.885	98.827	99.907
13_S13_contigs	46.828	46.858	0.0	0.462	0.462	0.084	3.553	40.099	29.542	25.646	25.673	0.0	5.579	0.0	45.134	19.199	36.130	91.398	95.077	99.554
14_S2_contigs	10.068	10.176	0.366	2.703	2.161	1.607	3.357	10.335	8.549	2.659	2.753	0.450	2.444	0.0	8.381	2.192	7.622	96.715	98.186	99.822
15_S3_contigs	24.417	26.113	18.794	21.013	23.551	19.464	17.782	14.836	18.549	23.483	20.582	13.841	29.471	0.0	15.016	21.852	11.250	38.974	43.999	40.369
18_S4_contigs	20.874	22.551	0.041	19.918	19.506	15.995	7.441	21.925	25.804	12.732	12.050	5.025	8.284	0.0	20.627	12.118	23.242	48.268	50.007	53.398
19_S5_contigs	20.817	19.512	0.0	20.845	19.778	15.092	10.412	24.085	25.750	11.632	11.660	4.999	8.085	0.0	21.468	11.548	21.590	83.330	87.073	96.695
1_S1_contigs	7.937	9.432	0.119	10.173	8.659	7.275	5.213	8.403	9.800	7.388	6.773	4.269	4.092	0.0	7.115	7.838	7.097	52.967	51.880	68.075
20_S10_contigs	14.671	14.585	0.0	0.037	0.037	0.0	0.277	14.288	8.676	4.887	4.918	0.0	2.485	0.0	13.146	3.448	10.160	73.866	87.569	96.861
26_S2_contigs	95.389	95.752	0.0	44.228	42.995	34.599	81.876	91.513	94.338	88.199	88.202	2.401	66.169	0.0	94.956	76.157	94.757	99.747	98.151	99.816
2_S2_contigs	9.017	9.675	0.347	9.028	7.809	6.810	4.544	10.548	12.168	5.199	6.126	3.919	6.000	0.0	7.641	6.913	5.914	55.753	62.589	64.057
2_S8_contigs	36.922	36.779	0.012	0.235	0.208	0.082	2.843	30.272	25.859	15.813	15.813	0.0	1.821	0.0	33.153	11.015	29.677	91.492	95.291	99.533
33_S3_contigs	0.354	0.339	0.0	0.0	0.0	0.053	2.976	0.031	0.0	0.117	0.121	0.020	0.033	0.0	0.006	0.064	0.061	1.835	24.527	26.692
35_S4_contigs	5.142	5.075	0.0	0.156	0.138	0.056	0.616	6.990	4.909	2.857	2.737	0.0	0.743	0.0	5.938	1.517	5.009	36.837	69.846	82.416
38_S5_contigs	15.401	14.462	0.0	0.633	0.611	0.300	3.194	16.586	13.451	10.561	10.426	0.002	5.811	0.0	14.400	6.611	12.188	68.765	86.346	96.402
3_S3_contigs	10.181	7.465	0.201	8.849	9.259	6.901	7.270	8.831	9.293	6.102	5.434	3.648	4.506	0.0	8.768	7.449	8.614	55.088	66.401	61.020
4_S4_contigs	9.368	9.127	0.303	2.198	1.868	1.452	3.509	8.983	8.046	3.448	3.894	0.868	3.690	0.0	8.331	3.248	7.278	84.417	94.124	98.793
5_S5_contigs	6.703	5.568	0.244	1.936	1.917	1.039	2.575	5.337	4.213	1.675	1.788	0.563	2.311	0.0	3.793	1.988	3.500	26.796	49.676	58.898
