Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
10_S10_contigs	21.759	21.517	0.117	29.322	29.511	27.751	11.191	20.957	22.273	17.574	19.256	13.902	17.161	0.0	20.822	21.773	12.209	32.699	44.874	49.673
10_S9_contigs	85.063	84.978	0.0	28.033	27.168	20.374	67.927	15.122	72.479	50.071	50.006	0.875	4.442	0.0	71.569	35.334	31.286	99.753	98.943	99.899
11_S11_contigs	98.324	98.335	99.193	98.760	98.829	98.767	89.398	94.389	98.899	98.466	98.845	95.503	98.962	0.272	92.515	99.026	7.485	99.977	99.922	99.977
12_S12_contigs	4.452	4.896	0.495	3.930	3.824	2.919	3.286	2.849	4.625	2.494	1.872	1.087	1.899	0.0	3.313	2.240	3.516	76.868	68.333	82.101
12_S1_contigs	43.359	43.052	0.0	57.571	57.243	49.895	36.458	26.955	48.386	25.169	24.784	12.837	7.322	0.0	39.521	29.355	30.307	99.885	98.827	99.907
13_S13_contigs	21.385	21.532	0.0	0.445	0.445	0.072	3.541	3.087	10.766	7.453	7.456	0.0	0.532	0.0	15.681	6.344	10.511	91.398	95.077	99.554
14_S2_contigs	4.000	4.460	0.292	1.813	2.013	1.582	2.166	2.221	3.802	1.257	1.341	0.450	0.266	0.0	3.163	0.988	2.868	96.715	98.186	99.822
15_S3_contigs	16.831	16.690	17.687	20.240	23.352	18.883	9.014	12.701	18.049	22.487	19.929	13.747	30.476	0.0	12.935	22.832	4.165	38.974	43.999	40.369
18_S4_contigs	15.822	18.715	0.041	18.871	18.638	15.718	6.822	7.905	14.628	10.475	10.809	4.823	1.760	0.0	12.403	10.331	12.007	48.268	50.007	53.398
19_S5_contigs	15.739	12.762	0.0	19.483	18.671	14.864	9.777	8.612	15.375	10.603	10.306	4.972	1.886	0.0	14.249	9.757	11.704	83.330	87.073	96.695
1_S1_contigs	5.238	7.367	0.096	9.057	8.442	6.816	4.177	4.816	7.446	7.011	5.951	4.430	2.342	0.0	5.064	7.050	4.351	52.967	51.880	68.075
20_S10_contigs	3.777	3.755	0.0	0.024	0.024	0.006	0.216	1.009	2.239	0.929	0.930	0.0	0.420	0.0	2.881	0.590	2.312	73.866	87.569	96.861
26_S2_contigs	86.911	87.023	0.0	43.963	42.711	34.305	79.976	20.960	78.374	65.626	65.726	2.384	8.368	0.0	78.143	53.491	38.012	99.747	98.151	99.816
2_S2_contigs	7.220	6.237	0.221	8.482	7.526	6.525	3.940	6.207	10.607	4.426	5.431	3.700	2.947	0.0	5.095	5.469	4.151	55.753	62.589	64.057
2_S8_contigs	15.764	15.713	0.012	0.223	0.197	0.082	2.816	2.030	9.117	4.227	4.274	0.0	0.173	0.0	10.017	3.289	8.210	91.492	95.291	99.533
33_S3_contigs	0.009	0.031	0.0	0.005	0.0	0.053	0.052	0.059	0.0	0.0	0.029	0.020	0.0	0.0	0.0	0.011	0.054	1.835	24.527	26.692
35_S4_contigs	0.807	0.719	0.0	0.140	0.122	0.056	0.361	0.258	0.556	0.369	0.378	0.0	0.046	0.0	0.574	0.301	0.571	36.837	69.846	82.416
38_S5_contigs	3.050	2.937	0.0	0.413	0.462	0.246	2.453	0.454	1.550	1.364	1.300	0.002	0.406	0.0	1.019	1.138	1.160	68.765	86.346	96.402
3_S3_contigs	7.605	6.059	0.163	8.515	8.819	6.570	6.418	5.158	6.868	5.160	5.072	3.650	2.688	0.0	6.642	6.501	3.563	55.088	66.401	61.020
4_S4_contigs	4.920	4.718	0.221	1.431	1.705	1.245	1.978	1.858	3.491	1.755	2.048	0.730	0.847	0.0	3.478	1.673	2.768	84.417	94.124	98.793
5_S5_contigs	3.685	3.438	0.201	1.241	1.459	0.919	1.220	1.391	2.391	1.002	1.002	0.534	0.811	0.0	1.873	1.394	1.470	26.796	49.676	58.898
6_S6_contigs	5.651	7.271	7.458	10.442	11.033	10.042	3.644	6.769	7.530	7.340	9.145	7.091	5.238	0.0	5.597	12.512	1.426	56.269	61.091	64.755
8_S8_contigs	21.024	22.933	0.101	28.453	31.774	29.085	13.091	19.425	30.534	18.303	16.964	15.321	16.278	0.0	19.405	21.960	14.200	72.096	82.364	80.663
9_S9_contigs	23.881	25.677	13.217	21.996	16.465	20.112	12.993	25.567	24.994	11.696	11.918	20.046	16.312	0.0	14.181	11.379	20.690	99.860	99.239	99.846
A_2013_70_F524_1_S1_contigs	17.905	17.645	0.259	2.630	3.380	3.348	2.123	5.864	3.509	1.070	0.972	0.731	2.960	0.0	4.858	5.039	2.159	57.626	65.071	58.258
A_2013_70_F524_2_S2_contigs	15.408	14.437	0.346	4.257	2.670	2.879	1.993	2.804	0.728	2.391	2.936	3.666	3.279	0.0	7.519	1.519	1.293	57.067	66.766	80.638
A_2014_70_F537_S3_contigs	12.810	12.672	0.356	2.211	1.975	3.544	2.343	1.723	2.066	1.990	1.641	2.640	2.412	0.0	3.211	3.834	2.651	50.673	54.905	65.579
A_H_1309_4_4_S6_contigs	23.370	24.055	15.740	24.480	22.458	16.182	15.182	17.937	23.007	23.609	24.330	15.161	30.413	0.0	13.850	26.196	5.049	95.983	92.379	97.534
A_H_1309_5_2_S7_contigs	6.461	5.666	0.651	2.491	1.728	1.533	2.678	3.122	3.840	2.671	2.040	1.417	0.788	0.0	3.652	1.380	3.692	86.757	94.489	98.440
A_H130426_2_S6_contigs	5.675	5.133	0.003	0.721	0.644	0.302	1.867	0.794	3.529	1.331	1.205	0.049	0.212	0.0	2.975	0.914	3.410	74.674	88.381	97.224
A_H1309_1_3_S8_contigs	2.188	2.313	0.636	2.499	1.941	1.022	1.024	2.055	2.984	1.527	0.795	2.295	0.982	0.0	1.515	0.911	1.812	33.028	68.279	77.252
A_H1309_4_1_S7_contigs	7.383	7.352	0.013	1.078	1.066	0.473	2.799	1.816	4.903	2.210	2.163	0.168	0.225	0.0	4.749	1.732	3.871	96.564	97.221	99.723
A_H1309_4_3_S10_contigs	16.759	12.968	13.554	18.407	15.475	17.298	10.235	14.711	15.444	14.036	15.569	14.446	10.927	0.0	11.895	18.116	3.874	35.306	47.687	48.404
A_H1309_5II_S9_contigs	5.014	4.932	0.143	1.481	1.422	0.655	1.966	1.469	3.447	1.499	1.463	0.336	0.234	0.0	3.254	1.329	3.115	98.601	97.108	99.649
A_Hdes_10_S9_contigs	4.605	4.517	0.033	7.048	7.599	6.036	2.477	3.390	5.342	2.733	2.270	2.867	1.066	0.0	4.022	3.123	4.253	37.466	45.356	39.261
A_Hdes_11_S10_contigs	6.408	5.943	0.242	2.197	2.150	1.638	2.994	2.435	4.599	2.252	2.175	0.472	0.471	0.0	4.549	1.949	3.104	97.366	97.539	99.808
A_Hdes_12_S11_contigs	6.907	6.877	0.031	8.200	8.778	7.639	4.761	4.154	6.458	3.337	4.014	2.167	1.574	0.0	5.335	3.895	6.110	48.283	64.537	79.955
A_Hdes_19_S12_contigs	8.012	7.838	0.976	1.661	2.060	1.620	4.374	2.904	3.549	3.075	3.297	2.603	1.001	0.0	4.392	3.081	2.916	95.354	96.252	99.324
A_Hdes_20_1_S13_contigs	7.222	6.748	0.091	9.277	8.921	7.229	5.486	6.146	9.569	4.837	4.723	3.235	1.763	0.0	7.004	5.007	6.305	81.220	73.685	89.126
A_Hdes_3_S8_contigs	10.318	10.269	0.0	1.584	1.606	0.675	4.039	1.822	5.807	3.270	3.293	0.059	0.556	0.0	5.309	2.339	5.636	89.947	93.273	98.881
A15_S15_contigs	0.936	0.646	0.045	0.164	0.181	0.121	0.295	0.290	0.471	0.320	0.226	0.0	0.051	0.0	0.606	0.177	0.738	27.993	54.665	66.111
A16_S16_contigs	4.768	4.554	0.0	1.078	1.125	0.472	2.016	1.168	3.427	1.519	1.315	0.033	0.128	0.0	3.030	0.888	2.791	36.681	45.012	57.710
A1_S1_contigs	5.737	6.347	3.580	1.610	2.177	3.584	8.764	3.174	2.549	1.737	2.765	3.473	1.065	0.0	3.114	1.356	7.019	21.946	24.638	31.998
A22_S22_contigs	0.954	0.961	0.030	0.222	0.257	0.098	0.170	0.298	0.544	0.224	0.347	0.043	0.016	0.0	0.436	0.302	0.374	28.048	55.961	59.895
A25_S9_contigs	4.604	4.906	0.0	0.984	1.017	0.391	1.991	1.348	3.876	1.287	1.695	0.0	0.114	0.0	3.258	1.329	2.533	38.766	55.617	57.790
A2_S2_contigs	6.878	6.269	2.976	1.665	2.973	5.446	7.028	3.657	2.585	1.522	1.731	3.516	0.829	0.0	3.622	1.551	7.232	24.240	25.061	30.849
A3_S3_contigs	14.061	11.306	8.522	12.168	14.310	13.462	6.874	12.019	14.159	13.296	12.275	11.564	8.322	0.0	14.003	13.090	6.275	70.792	69.703	69.894
A4_S4_contigs	5.919	4.779	3.480	1.740	2.448	3.064	6.047	2.135	2.913	1.533	1.243	3.524	0.709	0.0	3.395	0.802	4.369	66.421	56.037	65.632
A5_S5_contigs	4.857	4.929	5.737	3.915	6.065	6.340	5.294	4.741	3.515	3.773	3.734	6.230	0.890	0.0	4.932	4.294	3.086	44.365	48.544	54.897
A6_S6_contigs	8.737	7.256	6.338	5.105	4.768	6.984	5.059	5.497	7.594	3.944	2.812	7.788	1.758	0.0	6.266	3.935	2.241	82.686	77.813	79.593
A7_S7_contigs	6.655	6.353	8.022	6.027	9.837	7.043	4.786	7.628	7.653	10.750	9.425	5.807	5.080	0.0	5.403	7.600	1.163	55.715	62.045	67.847
A8_S8_contigs	6.015	5.233	7.906	9.831	8.093	6.027	4.781	5.608	7.311	8.952	10.794	6.855	1.743	0.0	7.276	9.079	1.691	52.573	57.702	71.289
A9_2_S2_contigs	4.816	4.642	0.0	1.043	0.898	0.425	1.959	0.861	3.757	1.411	1.206	0.0	0.063	0.0	3.119	0.973	2.950	40.428	58.124	59.145
AW02J18_S11_contigs	99.750	99.746	99.642	99.419	99.532	99.360	92.471	99.317	99.648	99.123	99.118	99.551	99.605	0.0	97.370	99.686	97.024	99.992	99.888	99.993
AW19M33_S12_contigs	19.264	19.038	0.0	0.499	0.489	0.184	4.053	3.127	11.333	5.655	5.612	0.0	0.612	0.0	11.761	3.789	8.127	91.889	94.795	99.527
Acidobacteria_bacterium_Mor1_genomic	12.082	12.089	0.0	0.157	0.157	0.049	1.445	2.137	6.665	3.176	3.144	0.0	0.853	0.0	7.699	2.608	5.542	85.855	93.648	99.196
Aciduliprofundum_boonei_T469_genomic	62.827	63.371	0.0	6.541	6.294	3.605	30.995	7.601	37.874	31.031	31.030	0.057	3.596	0.0	49.724	27.567	24.012	98.936	99.044	99.996
Aciduliprofundum_sp_MAR08_339_genomic	85.135	84.651	0.0	25.295	24.635	18.077	65.458	13.374	68.197	63.619	63.784	1.011	6.981	0.0	79.821	58.584	30.912	99.769	99.714	99.997
Acinetobacter_venetianus_VE_C3_genomic	94.001	94.235	0.102	79.960	79.064	74.152	91.516	52.733	93.250	90.877	90.821	24.922	15.252	0.0	93.993	86.887	79.311	99.984	99.921	99.999
Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic	0.794	0.780	0.0	0.0	0.0	0.0	0.012	0.260	0.346	0.187	0.222	0.0	0.087	0.0	0.476	0.230	0.348	42.181	72.947	85.164
Actinoalloteichus_sp_ADI127_7_genomic	53.868	61.098	0.0	11.504	11.125	7.273	36.840	8.054	42.850	26.392	26.664	0.170	2.801	0.0	41.552	19.019	20.700	94.210	99.537	99.996
