Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	4106	-	3498	2397	7502	7191	2383	2397	2548
GCA_000012325.1_crisprs	-	1410	-	1276	913	1181	2721	265	553	942
GCA_000012885.1_crisprs	-	8482	-	13208	6799	15313	20397	6799	6734	6799
GCA_000012985.1_crisprs	-	4392	-	11441	5818	13783	17454	5752	5759	5554
GCA_000014865.1_crisprs	-	7361	-	24400	14270	27963	35683	11608	11136	11168
GCA_000014885.1_crisprs	-	412	-	412	206	618	618	206	206	206
GCA_000015145.1_crisprs	2764	20982	11168	12907	6488	17461	19464	19461	-	6488
GCA_000016425.1_crisprs	-	7242	-	7549	5106	11465	11565	3857	4327	4593
GCA_000019185.1_crisprs	-	1664	-	1711	886	2570	2449	225	704	774
GCA_000020525.1_crisprs	-	4526	-	33592	17070	39422	51210	14134	17961	16990
GCA_000148645.1_crisprs	-	854	-	430	1244	1829	2166	133	535	1177
GCA_000192865.1_crisprs	-	8776	-	19827	10146	25942	30433	4552	9957	10523
GCA_000195335.1_crisprs	511	10718	-	21559	10583	26791	32253	11050	10612	10934
GCA_000211475.1_crisprs	647	11395	-	22034	11017	25887	33051	5937	11017	11017
GCA_000212355.1_crisprs	-	966	-	1020	510	1644	1530	741	510	510
GCA_000214665.1_crisprs	1319	6930	-	13168	6584	17149	19752	419	6524	6584
GCA_000221185.1_crisprs	-	9561	-	15750	7907	20818	23618	7907	7848	7346
GCA_000227745.2_crisprs	-	10880	-	10485	5818	16290	17163	5930	5951	4863
GCA_000299395.1_crisprs	-	1632	-	1460	730	2190	2190	1252	730	730
GCA_000299995.1_crisprs	-	371	-	1267	652	1065	515	-	185	245
GCA_000307105.1_crisprs	3647	10212	-	10759	5418	12284	16254	1880	5372	5418
GCA_000332115.1_crisprs	-	2320	-	2320	1160	3480	5800	1160	1160	1160
GCA_000348785.1_crisprs	505	1982	-	1492	1627	1544	3498	1627	822	1589
GCA_000473245.1_crisprs	-	8320	-	6435	5083	10087	8148	3657	3034	2088
GCA_000590925.1_crisprs	-	1180	-	1180	590	1770	1770	590	590	590
GCA_000591035.1_crisprs	-	9200	-	9063	4427	14185	14046	4642	4640	3995
GCA_000626635.1_crisprs	-	596	-	698	298	894	894	298	298	298
GCA_000725425.1_crisprs	14616	23968	-	14512	7308	20296	21924	11996	6837	7341
GCA_000830985.1_crisprs	-	1160	-	1160	580	1740	1740	580	580	582
GCA_001430865.1_crisprs	-	1640	-	1640	820	2460	2460	1536	820	820
