Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	2.044	-	2.214	1.000	3.601	3.136	1.000	1.000	1.267
GCA_000012325.1_crisprs	-	2.423	-	1.824	1.000	1.798	2.980	1.000	1.000	1.251
GCA_000012885.1_crisprs	-	2.138	-	1.946	1.000	2.317	3.000	1.000	0.991	1.000
GCA_000012985.1_crisprs	-	2.000	-	2.012	1.000	2.477	3.000	0.989	0.990	1.054
GCA_000014865.1_crisprs	-	6.135	-	1.974	1.006	2.155	2.861	1.029	1.024	1.026
GCA_000014885.1_crisprs	-	2.000	-	2.000	1.000	3.000	3.000	1.000	1.000	1.000
GCA_000015145.1_crisprs	1.064	3.402	2.001	2.007	1.000	2.734	3.000	3.000	-	1.000
GCA_000016425.1_crisprs	-	3.446	-	1.971	1.016	2.574	3.109	1.206	1.158	1.061
GCA_000019185.1_crisprs	-	4.459	-	2.539	1.266	3.894	4.012	1.301	1.258	1.375
GCA_000020525.1_crisprs	-	2.004	-	1.975	1.000	2.349	3.000	1.048	1.052	1.003
GCA_000148645.1_crisprs	-	2.773	-	2.200	1.517	3.243	2.797	1.000	1.081	1.981
GCA_000192865.1_crisprs	-	2.047	-	1.964	1.000	2.557	3.000	1.056	1.040	1.051
GCA_000195335.1_crisprs	1.000	2.040	-	2.007	1.000	2.491	2.994	1.026	1.010	1.015
GCA_000211475.1_crisprs	1.000	2.618	-	2.019	1.000	2.350	3.000	1.016	1.000	1.035
GCA_000212355.1_crisprs	-	6.203	-	2.059	1.000	3.224	3.000	1.453	1.002	1.000
GCA_000214665.1_crisprs	1.252	2.705	-	2.085	1.000	2.724	3.052	1.000	0.991	2.852
GCA_000221185.1_crisprs	-	3.668	-	2.154	1.000	2.650	2.987	1.000	0.993	1.118
GCA_000227745.2_crisprs	-	6.661	-	2.035	1.000	3.048	3.086	1.105	1.042	1.009
GCA_000299395.1_crisprs	-	8.355	-	2.004	1.000	3.000	3.000	1.715	1.000	1.000
GCA_000299995.1_crisprs	-	23.253	-	2.022	1.000	2.245	1.403	-	1.000	1.000
GCA_000307105.1_crisprs	1.269	2.967	-	2.056	1.000	2.267	3.000	1.018	0.992	1.018
GCA_000332115.1_crisprs	-	2.197	-	2.000	1.000	3.000	5.000	1.000	1.000	1.000
GCA_000348785.1_crisprs	1.545	3.923	-	1.922	1.272	1.878	3.440	1.272	1.000	1.589
GCA_000473245.1_crisprs	-	2.309	-	2.022	1.000	2.459	2.218	1.025	1.004	1.000
GCA_000590925.1_crisprs	-	2.000	-	2.000	1.000	3.000	3.000	1.000	1.000	1.000
GCA_000591035.1_crisprs	-	2.005	-	1.958	1.000	3.056	3.026	1.000	1.000	1.217
GCA_000626635.1_crisprs	-	2.000	-	2.342	1.000	3.000	3.000	1.000	1.000	1.000
GCA_000725425.1_crisprs	2.028	3.646	-	2.095	1.000	2.785	3.000	1.824	0.982	1.005
GCA_000830985.1_crisprs	-	2.603	-	2.000	1.000	3.000	3.000	1.000	1.003	1.005
GCA_001430865.1_crisprs	-	2.180	-	2.000	1.000	3.000	3.000	1.873	1.000	1.000
