Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	51284	-	6366	1584791	26102	21560	5682	46714	10244
GCA_000012325.1_crisprs	-	121454	-	759934	5373173	653700	149883	56491	662585	8580
GCA_000012885.1_crisprs	-	157464	-	87393	3665852	195027	208419	50405	44893	13545
GCA_000012985.1_crisprs	-	149898	-	27989	7215228	146857	91586	179417	95253	9219
GCA_000014865.1_crisprs	-	123471	-	906314	4719539	1323094	1189252	525960	466444	57040
GCA_000014885.1_crisprs	-	176172	-	9616	5396452	64369	24824	15161	64738	3821
GCA_000015145.1_crisprs	2941	2436774	86436	779035	1667163	270098	3736443	7286997	-	1667163
GCA_000016425.1_crisprs	-	318832	-	155178	5183322	364042	207105	144804	158797	47200
GCA_000019185.1_crisprs	-	58433	-	161758	5226895	145229	397798	27129	45979	11307
GCA_000020525.1_crisprs	-	218466	-	1716304	3293431	1792111	1536717	802163	595037	95177
GCA_000148645.1_crisprs	-	675376	-	167029	4279149	273657	295252	66341	236292	839311
GCA_000192865.1_crisprs	-	315960	-	808566	4684311	1022080	894208	396596	371708	84053
GCA_000195335.1_crisprs	511	455710	-	820465	2269117	1026867	940149	596167	987916	147314
GCA_000211475.1_crisprs	647	159024	-	1233921	1861292	894881	2085856	560810	475637	568045
GCA_000212355.1_crisprs	-	9419	-	847780	3389983	225712	143444	327453	190198	5532
GCA_000214665.1_crisprs	1651	29570	-	1246491	5051673	1231326	1402893	13654	989129	2581202
GCA_000221185.1_crisprs	-	113561	-	65003	2011287	284527	176690	132269	156983	15136
GCA_000227745.2_crisprs	-	106303	-	224951	5017042	377426	390483	141235	413836	32121
GCA_000299395.1_crisprs	-	18870	-	390831	1690869	235761	820299	377329	235228	5548
GCA_000299995.1_crisprs	-	24578	-	8432	4480493	13263	5607	-	1304	2305
GCA_000307105.1_crisprs	4488	467122	-	1734559	5197896	2541353	2220491	407302	911169	907922
GCA_000332115.1_crisprs	-	58217	-	96870	3914609	232110	213430	323167	72798	10039
GCA_000348785.1_crisprs	9587	291058	-	657555	4830178	549260	1907490	240219	626167	1730957
GCA_000473245.1_crisprs	-	1086044	-	90584	4884705	621539	201473	422524	239617	11236
GCA_000590925.1_crisprs	-	109800	-	111634	3555091	161307	152916	191257	106155	3556
GCA_000591035.1_crisprs	-	272000	-	393210	1595975	436339	352463	142720	90829	8648
GCA_000626635.1_crisprs	-	3720	-	191032	5132065	133016	235844	76823	65484	9063
GCA_000725425.1_crisprs	500944	2178583	-	2731938	1859369	1992135	4558984	8381890	1513471	1854709
GCA_000830985.1_crisprs	-	28890	-	4566	3975877	43970	11925	7719	40410	1539
GCA_001430865.1_crisprs	-	29909	-	1445497	2884284	1479597	431321	788333	341863	33699
not_aligned	24560905	418796468	5061630	318646741	55254753	504988929	476235261	290253689	154665645	150715309
