Assemblies	ABySS	A_STAR	Flye	HipMer	marmgCAMI2	Megahit	metaSPAdes	Miniasm	OPERA_MS_inhouse	SPAdes
GCA_000011185.1_crisprs	-	1095.07	-	0.00	0.00	2044.22	125.16	0.00	41.72	166.88
GCA_000012325.1_crisprs	-	0.00	-	568.99	0.00	3044.14	657.17	0.00	1084.99	547.65
GCA_000012885.1_crisprs	-	648.22	-	0.00	0.00	970.73	0.00	0.00	117.73	0.00
GCA_000012985.1_crisprs	-	0.00	-	17.21	0.00	1876.08	0.00	0.00	326.57	687.86
GCA_000014865.1_crisprs	-	830.65	-	224.97	57.80	1582.61	489.10	124.15	409.43	321.34
GCA_000014885.1_crisprs	-	0.00	-	0.00	0.00	1456.31	0.00	0.00	0.00	0.00
GCA_000015145.1_crisprs	0.00	495.13	0.00	15.41	0.00	339.09	0.00	0.00	-	0.00
GCA_000016425.1_crisprs	-	895.01	-	52.22	0.00	1568.71	486.97	121.29	483.71	306.10
GCA_000019185.1_crisprs	-	1485.88	-	1714.29	1000.00	5428.57	4754.83	5202.31	1003.34	2884.62
GCA_000020525.1_crisprs	-	265.13	-	0.00	0.00	1646.16	35.15	51.89	486.23	82.65
GCA_000148645.1_crisprs	-	3896.10	-	0.00	3194.44	7978.72	5416.67	1503.76	1212.12	3703.70
GCA_000192865.1_crisprs	-	227.89	-	0.00	0.00	995.47	19.71	23.20	229.77	59.14
GCA_000195335.1_crisprs	0.00	190.19	-	0.00	0.00	1095.23	0.00	9.28	275.82	55.69
GCA_000211475.1_crisprs	0.00	1256.37	-	0.00	0.00	1452.30	0.00	0.00	199.69	0.00
GCA_000212355.1_crisprs	-	1656.31	-	0.00	0.00	588.24	0.00	0.00	0.00	0.00
GCA_000214665.1_crisprs	0.00	925.93	-	0.00	0.00	622.72	0.00	0.00	106.32	0.00
GCA_000221185.1_crisprs	-	86.00	-	0.00	0.00	1783.23	75.88	0.00	417.35	631.40
GCA_000227745.2_crisprs	-	845.43	-	90.48	0.00	1512.55	51.56	0.00	490.11	349.29
GCA_000299395.1_crisprs	-	2465.75	-	0.00	0.00	0.00	0.00	0.00	136.99	0.00
GCA_000299995.1_crisprs	-	7526.88	-	636.94	0.00	3773.58	1634.88	-	3783.78	816.33
GCA_000307105.1_crisprs	0.00	871.59	-	0.00	0.00	295.31	0.00	595.88	369.14	0.00
GCA_000332115.1_crisprs	-	0.00	-	0.00	0.00	172.41	689.66	0.00	172.41	431.03
GCA_000348785.1_crisprs	0.00	3301.24	-	729.93	1511.63	973.24	2370.20	1511.63	364.96	1666.67
GCA_000473245.1_crisprs	-	2047.41	-	377.00	0.00	2253.25	816.55	0.00	529.63	766.28
GCA_000590925.1_crisprs	-	0.00	-	0.00	0.00	677.97	0.00	0.00	0.00	0.00
GCA_000591035.1_crisprs	-	395.52	-	0.00	0.00	775.53	43.08	21.54	129.31	713.70
GCA_000626635.1_crisprs	-	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GCA_000725425.1_crisprs	0.00	574.71	-	0.00	0.00	766.28	0.00	471.34	215.46	0.00
GCA_000830985.1_crisprs	-	0.00	-	0.00	0.00	689.66	0.00	0.00	0.00	2590.67
GCA_001430865.1_crisprs	-	0.00	-	0.00	0.00	0.00	0.00	243.90	0.00	0.00
