Assemblies	gsa (short)	gsa (long)	gsa(hybrid)	HipMer (short)	Flye (long)	Flye (hybrid)	Flye_strain (long)	Flye strain (hybrid)	HipMer2 (short)	SPAdes (short)	MEGAHIT (short)	OPERA-MS (hybrid)	Flye inhouse (hybrid)
1005941.PRJNA171367	4.173	31.796	35.437	-	2.285	2.285	2.285	2.285	-	-	0.003	-	2.285
1038862.PRJNA170887	0.103	6.791	6.978	-	0.153	0.153	0.154	0.153	-	-	-	0.007	0.274
1038866.PRJNA165325	5.205	36.192	40.428	-	0.215	0.213	0.218	0.213	-	0.014	0.021	0.008	0.213
1041930.PRJNA73221	0.804	15.388	16.182	-	-	-	-	-	-	-	-	-	-
1048983.PRJNA245774	15.898	52.486	38.179	0.009	-	-	-	-	0.01	0.209	0.344	0.236	-
1050202.PRJNA78921	0.037	6.959	7.033	-	-	-	-	-	-	-	-	-	-
106592.PRJNA247817	1.039	18.594	6.53	-	0.002	0.001	0.002	0.001	-	-	0.001	-	0.001
1068978.PRJNA173670	42.478	74.816	86.463	0.016	0.011	0.012	0.011	0.012	0.302	0.02	0.01	0.002	-
1089545.PRJNA165347	0.056	4.444	4.514	-	-	-	-	-	-	-	-	-	-
1089549.PRJNA86067	0.501	14.371	14.961	-	-	-	-	-	-	-	-	-	-
1096756.PRJNA208966	92.909	95.72	99.493	7.266	-	-	-	-	19.308	13.006	33.526	25.648	-
1107311.PRJNA221771	99.792	99.766	99.793	99.76	0.002	0.005	0.002	0.005	99.71	99.601	99.566	99.508	-
1120936.PRJNA185238	46.154	75.909	88.065	0.068	9.415	9.415	9.415	9.415	0.367	0.025	0.013	0.01	9.415
1120948.PRJNA165357	55.091	80.419	92.024	0.09	1.618	1.618	1.628	1.628	0.876	-	-	-	1.63
1120949.PRJNA165359	91.208	95.095	99.492	5.021	1.207	1.207	1.207	1.207	13.257	0.011	0.006	0.003	1.207
1120950.PRJNA169810	34.277	68.259	80.188	0.038	0.321	0.321	0.321	0.321	0.136	0.218	0.641	0.463	0.321
